"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2025","4,865.34","4,861.56","4,884.54","4,856.68","","0.08%"
"12/29/2025","4,861.56","4,869.00","4,886.14","4,843.75","","-0.15%"
"12/28/2025","4,869.00","4,883.57","4,930.79","4,869.00","","-0.30%"
"12/24/2025","4,883.57","4,860.63","4,896.65","4,860.63","","0.47%"
"12/23/2025","4,860.63","4,874.52","4,902.23","4,856.58","","-0.29%"
"12/22/2025","4,874.52","4,826.47","4,890.22","4,826.47","","1.00%"
"12/21/2025","4,826.47","4,831.41","4,844.60","4,789.30","","-0.10%"
"12/18/2025","4,831.41","4,853.91","4,867.83","4,828.19","","-0.46%"
"12/17/2025","4,853.91","4,890.05","4,912.83","4,853.91","","-0.74%"
"12/15/2025","4,890.05","4,932.97","4,944.82","4,887.90","","-0.87%"
"12/14/2025","4,932.97","4,963.83","4,981.81","4,928.25","","-0.62%"
"12/11/2025","4,963.83","4,941.84","4,970.71","4,933.47","","0.44%"
"12/10/2025","4,941.84","4,962.90","4,994.54","4,941.84","","-0.42%"
"12/09/2025","4,962.90","4,906.29","4,975.06","4,906.29","","1.15%"
"12/08/2025","4,906.29","4,872.64","4,925.83","4,872.64","","0.69%"
"12/07/2025","4,872.64","4,886.57","4,908.49","4,872.48","","-0.28%"
"12/04/2025","4,886.57","4,927.49","4,936.95","4,877.77","","-0.83%"
"12/03/2025","4,927.49","4,950.92","4,991.89","4,927.49","","-0.47%"
"12/02/2025","4,950.92","4,914.72","4,959.38","4,914.50","","0.74%"
"12/01/2025","4,914.72","4,978.77","4,985.45","4,911.62","","-1.29%"
"11/30/2025","4,978.77","5,028.14","5,045.27","4,978.61","","-0.98%"
"11/27/2025","5,028.14","5,009.80","5,042.79","5,009.80","","0.37%"
"11/26/2025","5,009.80","5,018.28","5,046.39","4,998.87","","-0.17%"
"11/25/2025","5,018.28","5,024.86","5,076.12","5,009.69","","-0.13%"
"11/24/2025","5,024.86","4,915.75","5,034.90","4,915.75","","2.22%"
"11/23/2025","4,915.75","4,869.01","4,927.10","4,823.09","","0.96%"
"11/20/2025","4,869.01","4,901.38","4,940.02","4,866.52","","-0.66%"
"11/19/2025","4,901.38","4,846.88","4,912.66","4,846.88","","1.12%"
"11/18/2025","4,846.88","4,774.96","4,879.51","4,774.96","","1.51%"
"11/17/2025","4,774.96","4,732.16","4,798.78","4,715.21","","0.90%"
"11/16/2025","4,732.16","4,702.69","4,764.12","4,620.66","","0.63%"
"11/13/2025","4,702.69","4,825.33","4,832.21","4,692.75","","-2.54%"
"11/12/2025","4,825.33","4,872.77","4,896.69","4,822.05","","-0.97%"
"11/11/2025","4,872.77","4,860.75","4,896.08","4,848.40","","0.25%"
"11/10/2025","4,860.75","4,899.93","4,913.77","4,856.87","","-0.80%"
"11/09/2025","4,899.93","4,967.94","5,001.65","4,897.36","","-1.37%"
"11/06/2025","4,967.94","4,986.89","4,986.89","4,928.21","","-0.38%"
