Date,Scrip,Open,High,Low,Close,Volume
20221220,00DS30,2201.78238,2205.38993,2196.98021,2199.46528,3224117000
20221220,00DSES,1366.82152,1370.28528,1362.13363,1363.31841,3224117000
20221220,00DSEX,6238.99084,6249.82399,6224.16998,6226.50214,3224117000
20221220,1JANATAMF,6.1,6.1,6.1,6.1,20
20221220,1STPRIMFMF,17,17,17,17,1
20221220,AAMRANET,54.6,55.4,51.5,52,1353570
20221220,AAMRATECH,40.9,41.3,39,39.3,487121
20221220,ABB1STMF,5.2,5.2,5.2,5.2,13500
20221220,ABBANK,9.9,9.9,9.9,9.9,130
20221220,ACI,260.2,260.2,260.2,260.2,207
20221220,ACIFORMULA,155,155,155,155,1010
20221220,ACMELAB,85,85,85,85,1504
20221220,ACMEPL,35.4,35.4,35.4,35.4,1000
20221220,ACTIVEFINE,19.3,19.3,19.3,19.3,9
20221220,ADNTEL,105.5,107.6,105.3,105.9,66165
20221220,ADVENT,27,27.4,25.1,25.5,4108291
20221220,AFCAGRO,23.5,23.5,23.5,23.5,274
20221220,AFTABAUTO,24.5,25,24.5,24.5,76782
20221220,AGNISYSL,23,23.1,22.3,22.4,637878
20221220,AGRANINS,38.5,38.5,38.5,38.5,100
20221220,AIBL1STIMF,7.3,7.3,7.3,7.3,4000
20221220,ALARABANK,23.6,23.6,23.6,23.6,169
20221220,ALIF,13.3,13.3,13.3,13.3,6
20221220,AMANFEED,33.5,33.5,33.5,33.5,402
20221220,AMBEEPHA,572,584,554.1,555.5,14531
20221220,AMCL(PRAN),287.9,287.9,272.3,274.4,88148
20221220,ANLIMAYARN,37.1,37.1,37.1,37.1,1
20221220,ANWARGALV,233,234,219.9,220.9,105699
20221220,AOL,36.5,36.5,36.5,36.5,230
20221220,APEXFOODS,335,339,314.7,316,200254
20221220,APEXFOOT,280.5,282.7,265,267.5,85368
20221220,APEXSPINN,136,137.5,130.9,130.9,123966
20221220,APEXTANRY,128.7,128.7,128.7,128.7,4000
20221220,APOLOISPAT,8.2,8.2,8.2,8.2,1000
20221220,APSCLBOND,5500,5500,5500,5500,231
20221220,ARAMIT,311.9,314,300,301.2,28511
20221220,ARAMITCEM,31.4,31.4,31.4,31.4,1
20221220,ASIAINS,48.9,48.9,48.9,48.9,8116
20221220,ASIAPACINS,43.6,43.6,43.6,43.6,2159
20221220,ATLASBANG,104.2,107,104.2,104.2,47779
20221220,AZIZPIPES,106,113.8,104.5,107.7,268681
20221220,BANGAS,131.5,134.3,127.7,128.1,104216
20221220,BANKASIA,20.2,20.2,20.2,20.2,5
20221220,BARKAPOWER,21.3,21.3,21.3,21.3,630
20221220,BATASHOE,945.5,960,945,945.2,475
20221220,BATBC,518.7,518.7,518.7,518.7,2268
20221220,BBS,21.6,21.6,21.6,21.6,2260
20221220,BBSCABLES,49.9,49.9,49.9,49.9,1672
20221220,BDAUTOCA,163,164.5,155,159.5,379422
20221220,BDCOM,37.8,38.4,36.8,36.9,975920
20221220,BDLAMPS,274.9,279.2,265,267.1,126683
20221220,BDTHAIFOOD,49.8,50.5,48.1,48.6,747897
20221220,BDWELDING,29.3,29.3,28,28.1,250401
20221220,BEACHHATCH,41.7,41.7,41.7,41.7,6260
20221220,BEACONPHAR,293.9,293.9,284.2,289.7,38898
20221220,BENGALWTL,28,28.4,27.7,27.7,331653
20221220,BERGERPBL,1712,1712,1711.6,1711.6,3725
20221220,BEXGSUKUK,89,89.5,89,89,55528
20221220,BEXIMCO,115.6,115.6,115.6,115.6,1919
20221220,BGIC,56.4,58.9,54.4,56.2,29784
20221220,BNICL,58.3,58.9,57.9,58.1,173824
20221220,BPML,79.9,80.4,77.3,77.7,1460452
20221220,BPPL,29.3,29.3,29.3,29.3,1622
20221220,BRACBANK,38.5,38.5,38.5,38.5,3843
20221220,BSC,118.8,118.8,114.1,115,347504
20221220,BSCCL,218.9,218.9,218.9,218.9,110
20221220,BSRMLTD,90,90,90,90,90
20221220,BXPHARMA,146.9,148.9,146.6,146.8,205721
20221220,CAPMIBBLMF,14.2,14.2,14.2,14.2,1
20221220,CENTRALINS,37.2,37.2,37.2,37.2,20
20221220,CENTRALPHL,12.4,12.4,12.4,12.4,1501
20221220,CITYBANK,21.8,21.8,21.8,21.8,4996
20221220,CITYGENINS,26.3,26.3,26.3,26.3,51583
20221220,CLICL,60.3,61.1,59.8,60.1,390219
20221220,CONFIDCEM,89,89,89,89,853
20221220,CONTININS,31.8,31.8,31.8,31.8,450
20221220,COPPERTECH,38.4,38.4,38.4,38.4,5220
20221220,CRYSTALINS,41.6,42,41,41.2,58161
20221220,CVOPRL,163.7,163.7,163.7,163.7,891
20221220,DACCADYE,17.9,17.9,17.9,17.9,100
20221220,DBH,57.8,57.8,57.8,57.8,3790
20221220,DBH1STMF,6.9,6.9,6.9,6.9,600
20221220,DELTALIFE,136.5,136.5,136.5,136.5,10867
20221220,DELTASPINN,8.5,8.5,8.5,8.5,155
20221220,DESCO,36.6,36.6,36.6,36.6,500
20221220,DESHBANDHU,18.4,18.4,18.4,18.4,1
20221220,DGIC,32,32.4,30.8,31.1,174059
20221220,DHAKABANK,13.2,13.2,13.2,13.2,10200
20221220,DHAKAINS,50,50,50,50,515
20221220,DOMINAGE,21.8,21.8,21.8,21.8,6000
20221220,DOREENPWR,61,61,61,61,178
20221220,DSHGARME,150.4,150.4,150.4,150.4,153
20221220,DSSL,17,17,17,17,3
20221220,DULAMIACOT,71.1,71.1,71.1,71.1,114
20221220,DUTCHBANGL,62.6,62.6,62.6,62.6,575
20221220,EASTERNINS,51.4,51.4,51.4,51.4,35
20221220,EASTLAND,25.4,25.4,25.4,25.4,500
20221220,EASTRNLUB,1687.5,1687.5,1687.5,1687.5,251
20221220,EBL,31.8,31.8,31.8,31.8,2161
20221220,EBL1STMF,7.4,7.4,7.4,7.4,300
20221220,ECABLES,220,221,205,206.4,172198
20221220,EGEN,55.1,56,54.4,54.7,123455
20221220,EHL,82.3,83.8,79.6,80.5,621230
20221220,EIL,28.3,28.3,28.3,28.3,100
20221220,EMERALDOIL,36.4,36.4,36.4,36.4,400
20221220,EPGL,34.5,34.5,34.5,34.5,6773
20221220,ESQUIRENIT,34.5,34.5,34.5,34.5,9
20221220,EXIM1STMF,5.8,5.8,5.8,5.8,11
20221220,EXIMBANK,10.4,10.4,10.4,10.4,8953
20221220,FARCHEM,10.6,10.6,10.6,10.6,1
20221220,FAREASTLIF,75,75,75,75,2456
20221220,FBFIF,5,5,5,5,280045
20221220,FEDERALINS,25.6,25.6,25.6,25.6,200
20221220,FEKDIL,17.2,17.2,17.2,17.2,1000
20221220,FINEFOODS,59.8,60.7,58,59.1,151833
20221220,FIRSTFIN,5.5,5.5,5.5,5.5,5
20221220,FIRSTSBANK,9.8,9.8,9.8,9.8,11546
20221220,FORTUNE,79.5,79.5,79.5,79.5,5810
20221220,FUWANGCER,17.4,17.4,17.4,17.4,1000
20221220,FUWANGFOOD,23.5,23.5,23.5,23.5,30
20221220,GBBPOWER,19.8,19.8,19.8,19.8,11
20221220,GEMINISEA,417.4,425,401,403.9,130730
20221220,GENEXIL,85.6,87,84.1,84.4,1427318
20221220,GENNEXT,6,6,6,6,370732
20221220,GIB,9,9,9,9,2878
20221220,GLDNJMF,10.1,10.1,10.1,10.1,4
20221220,GLOBALINS,32.7,32.7,32.7,32.7,230
20221220,GOLDENSON,18.2,18.2,18.2,18.2,5
20221220,GP,286.6,286.6,286.6,286.6,2668
20221220,GPHISPAT,44.8,44.8,44.8,44.8,7410
20221220,GQBALLPEN,105,109.8,104.9,106.8,199087
20221220,GREENDELMF,6.9,6.9,6.9,6.9,1
20221220,GREENDELT,65.1,65.1,65.1,65.1,803
20221220,GSPFINANCE,30.3,30.3,30.3,30.3,1
20221220,HAKKANIPUL,63.4,63.7,61.1,61.3,181042
20221220,HEIDELBCEM,179.1,179.1,179.1,179.1,170
20221220,HFL,22.2,22.2,22.2,22.2,44
20221220,HRTEX,115.9,115.9,115.9,115.9,48
20221220,HWAWELLTEX,45,45.3,45,45,45841
20221220,IBNSINA,286.6,286.6,286.6,286.6,40
20221220,IBP,17,17,17,17,1413
20221220,ICB,87.6,87.6,87.6,87.6,1800
20221220,ICBAMCL2ND,8.7,8.7,8.7,8.7,1
20221220,ICBIBANK,5.4,5.4,5.4,5.4,15
20221220,ICICL,16,16,16,16,337
20221220,IDLC,46.5,46.5,46.5,46.5,730
20221220,IFADAUTOS,44.1,44.1,44.1,44.1,50
20221220,IFIC,11.5,11.5,11.5,11.5,8335
20221220,IFIC1STMF,5.1,5.1,5.1,5.1,9338
20221220,ILFSL,5.6,5.6,5.6,5.6,6150
20221220,INDEXAGRO,103.6,103.6,103.6,103.6,7361
20221220,INTECH,30.4,30.4,30.4,30.4,300
20221220,INTRACO,45,46.4,42.3,42.9,4300715
20221220,ISLAMIBANK,32.7,32.9,32.7,32.8,34905
20221220,ISLAMIINS,41.2,41.2,40.7,40.7,5132
20221220,ISNLTD,54.7,54.8,54.2,54.2,98909
20221220,ITC,34,34.4,33.1,33.2,979120
20221220,JAMUNABANK,21.3,21.3,21.3,21.3,505
20221220,JANATAINS,29.6,29.6,29.6,29.6,5077
20221220,JHRML,73.1,73.5,72.1,72.3,328783
20221220,JMISMDL,264,264,255.6,255.8,50203
20221220,JUTESPINN,362,366.4,329.8,332,19754
20221220,KARNAPHULI,28.6,28.6,28.6,28.6,55
20221220,KAY&QUE,296.7,296.9,280.1,283,68817
20221220,KBPPWBIL,13.8,13.8,13.8,13.8,5
20221220,KDSALTD,77,77,77,77,11798
20221220,KEYACOSMET,6.4,6.4,6.4,6.4,56485
20221220,KOHINOOR,470,493,458,461.2,20150
20221220,KPCL,26.6,26.6,26.6,26.6,300
20221220,KPPL,8.9,8.9,8.9,8.9,6800
20221220,LANKABAFIN,26,26,26,26,150
20221220,LEGACYFOOT,58.7,58.7,58.7,58.7,1829
20221220,LHBL,64.8,64.8,64.8,64.8,58059
20221220,LIBRAINFU,883.6,883.6,883.6,883.6,10
20221220,LINDEBD,1397.7,1397.7,1397.7,1397.7,130
20221220,LOVELLO,37.9,38.1,37.9,37.9,218623
20221220,LRBDL,37.3,37.6,36.1,36.2,893699
20221220,LRGLOBMF1,6.4,6.4,6.4,6.4,200
20221220,MAKSONSPIN,22.3,22.3,22.3,22.3,30882
20221220,MALEKSPIN,27.1,27.1,27.1,27.1,11068
20221220,MARICO,2421.5,2421.5,2421.5,2421.5,229
20221220,MATINSPINN,77.6,77.6,77.6,77.6,11
20221220,MEGHNACEM,65.3,65.5,65.3,65.3,6489
20221220,MEGHNAINS,44.8,44.8,44.8,44.8,1
20221220,MEGHNALIFE,63.6,64.6,62.6,62.7,164643
20221220,MEGHNAPET,40.7,40.7,40.7,40.7,35
20221220,MERCANBANK,13.6,13.6,13.6,13.6,54902
20221220,MERCINS,32.1,32.1,32.1,32.1,300
20221220,METROSPIN,41.6,43.5,41.6,43,578637
20221220,MIRAKHTER,50.8,50.8,50.8,50.8,2869
20221220,MLDYEING,24.8,24.8,24.8,24.8,7
20221220,MONNOAGML,840,853,815.1,822.7,128063
20221220,MONNOCERA,144.9,147.9,140.2,144.4,1753378
20221220,MONNOFABR,24.1,24.1,24.1,24.1,2878
20221220,MONOSPOOL,324,324.5,302,305.7,132654
20221220,MPETROLEUM,198.6,198.6,198.6,198.6,297
20221220,MTB,16.6,16.6,16.6,16.6,2277
20221220,NAHEEACP,65.3,65.3,65.3,65.3,1
20221220,NATLIFEINS,179,179,179,179,13
20221220,NAVANACNG,25.2,25.2,25.2,25.2,2248
20221220,NAVANAPHAR,80.6,81.9,79.7,80.1,586584
20221220,NCCBANK,13.8,13.8,13.8,13.8,211
20221220,NCCBLMF1,6.8,6.9,6.8,6.8,85888
20221220,NEWLINE,45.1,45.1,45.1,45.1,51
20221220,NFML,16.7,16.7,16.7,16.7,2
20221220,NHFIL,41.8,41.8,41.8,41.8,68420
20221220,NORTHERN,280.1,280.2,261,263.5,31076
20221220,NORTHRNINS,41.2,41.2,41.2,41.2,500
20221220,NPOLYMER,51,51,51,51,12650
20221220,NRBCBANK,17.6,17.6,17.6,17.6,701
20221220,NTC,612.1,612.1,608.6,609.7,9525
20221220,NTLTUBES,79.5,79.5,79.5,79.5,3770
20221220,NURANI,7,7,7,7,500
20221220,OAL,11,11,11,11,4
