00DSEX,01-02-2022,6926.29,7007.82,6926.29,6997.60,135257270
00DS30,01-02-2022,2559.15,2593.00,2559.15,2588.57,135257270
00DSES,01-02-2022,1481.89,1500.26,1481.89,1497.49,135257270
DSEX,01-02-2022,6926.29,7007.82,6926.29,6997.60,135257270
DS30,01-02-2022,2559.15,2593.00,2559.15,2588.57,135257270
DSES,01-02-2022,1481.89,1500.26,1481.89,1497.49,135257270
1JANATAMF,01-02-2022,6.4,6.4,6.3,6.3,692042
1STPRIMFMF,01-02-2022,19.1,19.2,18.3,18.7,558115
AAMRANET,01-02-2022,43.6,44,43.2,43.4,190046
AAMRATECH,01-02-2022,33.3,33.8,32.8,33,1347133
ABB1STMF,01-02-2022,5.6,5.7,5.5,5.6,207429
ABBANK,01-02-2022,13.2,13.3,12.9,13,1627348
ACFL,01-02-2022,30.3,30.5,30,30.4,127000
ACI,01-02-2022,306,309.9,301.1,303.1,226150
ACIFORMULA,01-02-2022,179.9,180.5,175,176.9,187675
ACMELAB,01-02-2022,91.4,95,91.4,94.6,882477
ACMEPL,01-02-2022,29.6,32.2,29.3,32.2,2235867
ACTIVEFINE,01-02-2022,25.7,26.6,25.6,25.8,2421858
ADNTEL,01-02-2022,52.1,52.8,51.5,52.4,311158
ADVENT,01-02-2022,25.2,25.8,24.9,25.5,332162
AFCAGRO,01-02-2022,29.5,29.8,29.1,29.2,509616
AFTABAUTO,01-02-2022,28.9,28.9,28.1,28.2,71396
AGNISYSL,01-02-2022,27.7,28.9,27.5,27.8,6443171
AGRANINS,01-02-2022,55.3,55.7,54.6,54.8,106848
AIBL1STIMF,01-02-2022,8.8,8.8,8.7,8.8,25504
AIL,01-02-2022,46.6,51,46.6,50.3,299616
ALARABANK,01-02-2022,26.8,27.1,26.8,26.9,41573
AL-HAJTEX,01-02-2022,94,94,92,92.2,310236
ALIF,01-02-2022,14.4,15.1,14.4,15,3919792
ALLTEX,01-02-2022,21.2,22.9,19.1,20.6,3471691
AMANFEED,01-02-2022,55.3,56.1,55,55.5,511346
AMBEEPHA,01-02-2022,461.9,478.8,461.9,468.8,2544
AMCL(PRAN),01-02-2022,358.9,371,356.2,359,77715
ANLIMAYARN,01-02-2022,36.5,37.4,36.3,36.6,186074
ANWARGALV,01-02-2022,383.1,400,383,391.1,486703
AOL,01-02-2022,42,43.4,42,43.3,93408
APEXFOODS,01-02-2022,178.2,186,178.2,182.1,87676
APEXFOOT,01-02-2022,326.8,335,325,330,249130
APEXSPINN,01-02-2022,135.8,135.8,132.4,133.4,20163
APEXTANRY,01-02-2022,134.2,137,133.2,133.5,28052
APOLOISPAT,01-02-2022,8.9,9.1,8.9,9,824075
ARAMIT,01-02-2022,351,360,348,351.9,24688
ARAMITCEM,01-02-2022,35.1,35.2,34.2,34.4,73484
ARGONDENIM,01-02-2022,18.4,19.1,18.2,18.4,271557
ASIAINS,01-02-2022,102.8,104,101,102,1293808
ASIAPACINS,01-02-2022,65.5,65.5,64.5,64.7,31994
ATCSLGF,01-02-2022,9.9,9.9,9.7,9.8,164236
ATLASBANG,01-02-2022,107.5,114.8,107.5,109.5,10684
AZIZPIPES,01-02-2022,101.9,103,100.1,101,29853
BANGAS,01-02-2022,125,125,121,122.4,44311
BANKASIA,01-02-2022,20.4,20.5,19.9,20.2,135528
BARKAPOWER,01-02-2022,24.3,25.4,24.2,25.2,985357
BATASHOE,01-02-2022,907,910.5,907,908.3,8611
BATBC,01-02-2022,649.2,653,645.2,649.7,273337
BAYLEASING,01-02-2022,31.6,31.7,31,31.1,980445
BBS,01-02-2022,26,28.8,25.9,28.8,13887476
BBSCABLES,01-02-2022,59.3,62.9,59,60.9,2641618
BDAUTOCA,01-02-2022,144,144,141.5,142,17359
BDCOM,01-02-2022,26.9,27.2,26.6,26.9,1263375
BDFINANCE,01-02-2022,51.3,52.1,50.1,51.4,4587103
BDLAMPS,01-02-2022,295.7,320.8,290,313.3,407939
BDTHAI,01-02-2022,21.1,21.3,20.6,20.9,923384
BDTHAIFOOD,01-02-2022,19.3,19.3,19.3,19.3,2088
BDWELDING,01-02-2022,17,17.1,16.9,17,45654
BEACHHATCH,01-02-2022,34,34.7,33.8,34.3,395454
BEACONPHAR,01-02-2022,232.9,237.9,221,224.3,71349
BENGALWTL,01-02-2022,22.9,23.5,22.4,22.7,268331
BERGERPBL,01-02-2022,1810.2,1810.2,1799.9,1800,1343
BEXGSUKUK,01-02-2022,86,87.5,85.5,87,49561
BEXIMCO,01-02-2022,150.2,151.9,146.9,150.7,6469737
BGIC,01-02-2022,55.4,55.6,53.7,54,201024
BIFC,01-02-2022,6.9,6.9,6.4,6.5,110207
BNICL,01-02-2022,115.1,117.8,115,116,11475
BPML,01-02-2022,63.5,69.4,63.4,67.7,1982516
BPPL,01-02-2022,34.8,35,34.3,34.8,446390
BRACBANK,01-02-2022,55.2,56,55,55.7,445227
BSC,01-02-2022,133.8,139,132.7,137.9,5176967
BSCCL,01-02-2022,223.1,227,223.1,225.5,194341
BSRMLTD,01-02-2022,107.3,110.4,106.5,109.4,105636
BSRMSTEEL,01-02-2022,74.7,77.5,74.7,77.1,132679
BXPHARMA,01-02-2022,197,197.6,195.2,196,330041
CAPMBDBLMF,01-02-2022,9.8,9.9,9.7,9.7,37716
CAPMIBBLMF,01-02-2022,15,15.1,14.8,14.9,298907
CENTRALINS,01-02-2022,51.6,52.7,51.6,51.8,85885
CENTRALPHL,01-02-2022,13.7,14,13.7,13.8,324746
CITYBANK,01-02-2022,27.1,27.3,26.9,27,353001
CITYGENINS,01-02-2022,40.4,40.4,39.8,39.9,91821
CNATEX,01-02-2022,8.3,8.4,8.2,8.3,373820
CONFIDCEM,01-02-2022,120.7,121.8,118.8,120,187685
CONTININS,01-02-2022,47.5,47.8,46.5,47.1,236873
COPPERTECH,01-02-2022,46.3,46.7,44.9,45.1,1765534
CRYSTALINS,01-02-2022,51.5,51.6,50.2,51.1,133136
CVOPRL,01-02-2022,225,232.5,220,222,431490
DACCADYE,01-02-2022,22.2,22.5,21.9,22,408394
DAFODILCOM,01-02-2022,70,70,66.3,67.8,3622
DBH,01-02-2022,76.8,77.5,76.5,77.3,50773
DBH1STMF,01-02-2022,7.6,7.6,7.5,7.5,58267
DELTALIFE,01-02-2022,171.5,187.4,170.5,184.7,867612
DELTASPINN,01-02-2022,9.1,9.3,9,9.1,1048447
DESCO,01-02-2022,39.3,42.7,39.3,41.5,678346
DESHBANDHU,01-02-2022,23.7,24.8,23.7,24.3,2755400
DGIC,01-02-2022,37.7,38.2,37,37.1,109043
DHAKABANK,01-02-2022,14.3,14.4,14.2,14.2,169967
DHAKAINS,01-02-2022,71.9,71.9,69.6,70,109098
DOMINAGE,01-02-2022,24.3,24.5,23.5,24.4,498650
DOREENPWR,01-02-2022,72,74.1,71.6,73.6,850733
DSHGARME,01-02-2022,168.4,173,168.1,168.5,75196
DSSL,01-02-2022,16.8,16.8,16.4,16.6,1610923
DULAMIACOT,01-02-2022,47,47.5,46,46.6,8580
DUTCHBANGL,01-02-2022,78.1,79,77.8,78.7,65840
EASTERNINS,01-02-2022,100.4,101.8,99.5,99.8,345389
EASTLAND,01-02-2022,37.2,37.2,36.3,36.5,235749
EASTRNLUB,01-02-2022,2300,2337.5,2250.1,2265,5966
EBL,01-02-2022,38.3,38.5,37.9,38.5,101425
EBL1STMF,01-02-2022,7.6,7.7,7.5,7.6,52402
EBLNRBMF,01-02-2022,6.2,6.3,6.2,6.3,383620
ECABLES,01-02-2022,132.1,133.9,132,132.2,9047
EGEN,01-02-2022,49.5,50.7,48.6,50.3,149324
EHL,01-02-2022,60.5,61.5,59.9,60.1,729949
EIL,01-02-2022,32.6,33,32.4,32.6,57315
EMERALDOIL,01-02-2022,35.9,36.8,35.2,35.7,76680
ENVOYTEX,01-02-2022,49.5,50.5,47.1,48.1,213134
EPGL,01-02-2022,40.8,42.5,40.7,41.4,335816
ESQUIRENIT,01-02-2022,35.6,36.6,35.4,36.1,293145
ETL,01-02-2022,10.1,10.4,10.1,10.2,357827
EXIM1STMF,01-02-2022,6.1,6.3,6.1,6.1,753302
EXIMBANK,01-02-2022,12.7,12.8,12.6,12.7,254942
FAMILYTEX,01-02-2022,4.6,4.7,4.5,4.6,455161
FARCHEM,01-02-2022,11.4,11.7,11.3,11.5,421487
FAREASTFIN,01-02-2022,5.8,5.9,5.7,5.8,36088
FAREASTLIF,01-02-2022,109.9,114.1,109.5,113.1,2381256
FASFIN,01-02-2022,6.7,6.8,6.6,6.6,488849
FBFIF,01-02-2022,5.3,5.3,5.2,5.2,215152
FEDERALINS,01-02-2022,34,34.3,33.4,33.5,164945
FEKDIL,01-02-2022,18,18.2,17.8,17.9,1244879
FINEFOODS,01-02-2022,46.7,47.8,46.7,47.6,67305
FIRSTFIN,01-02-2022,6.1,6.2,6,6.1,25995
FIRSTSBANK,01-02-2022,12.9,13,12.7,12.8,4529950
FORTUNE,01-02-2022,115.1,117,109.6,111.1,1724787
FUWANGCER,01-02-2022,18.3,18.3,17.8,17.9,854800
FUWANGFOOD,01-02-2022,22.4,23.1,22,22.3,4826190
GBBPOWER,01-02-2022,34.7,36.6,34.4,36.4,1354629
