00DSEX,20-02-2022,6991.36,6997.35,6919.89,6926.63,114093540
00DS30,20-02-2022,2573.85,2574.94,2538.96,2545.62,114093540
00DSES,20-02-2022,1508.14,1510.55,1497.14,1498.77,114093540
DSEX,20-02-2022,6991.36,6997.35,6919.89,6926.63,114093540
DS30,20-02-2022,2573.85,2574.94,2538.96,2545.62,114093540
DSES,20-02-2022,1508.14,1510.55,1497.14,1498.77,114093540
1JANATAMF,20-02-2022,6.4,6.4,6.3,6.3,421639
1STPRIMFMF,20-02-2022,18.4,18.6,17.7,17.8,311564
AAMRANET,20-02-2022,43.9,43.9,42.7,42.9,103622
AAMRATECH,20-02-2022,33.6,34.3,33.5,34.2,1216898
ABB1STMF,20-02-2022,5.5,5.6,5.5,5.5,172112
ABBANK,20-02-2022,13,13.1,12.8,12.8,582937
ACFL,20-02-2022,29.6,29.8,29.2,29.6,53035
ACI,20-02-2022,297.2,298.9,292,294.4,232446
ACIFORMULA,20-02-2022,173,173.5,166.5,172,42107
ACMELAB,20-02-2022,96.1,96.1,94,94.7,446752
ACMEPL,20-02-2022,33,36.1,33,35.4,2118824
ACTIVEFINE,20-02-2022,23.8,23.9,23.1,23.3,846650
ADNTEL,20-02-2022,51.3,53.4,51.2,53,790373
ADVENT,20-02-2022,25.6,25.6,24.9,25,405414
AFCAGRO,20-02-2022,27.8,28.1,27,27.2,157719
AFTABAUTO,20-02-2022,27.7,28.3,26,27.6,60888
AGNISYSL,20-02-2022,25,25.3,24.9,24.9,1344039
AGRANINS,20-02-2022,53.6,54,52.6,52.9,59839
AIBL1STIMF,20-02-2022,8.6,8.7,8.6,8.6,43450
AIBLPBOND,20-02-2022,4750,4800,4750,4766.5,3
AIL,20-02-2022,47.5,48,47,47.1,137156
ALARABANK,20-02-2022,26.9,27.1,26.9,26.9,433824
AL-HAJTEX,20-02-2022,102.8,103.4,100.2,103,354537
ALIF,20-02-2022,14.5,14.5,14,14.1,1406931
ALLTEX,20-02-2022,26.7,28.2,26.5,27.5,2372866
AMANFEED,20-02-2022,51.6,52,51.3,51.4,401621
AMBEEPHA,20-02-2022,519.3,557.5,519.1,556.6,25565
AMCL(PRAN),20-02-2022,378.5,387,373.9,384.1,211388
