00DSEX,03-01-2022,6853.14,6923.45,6853.14,6882.30,131414200
00DS30,03-01-2022,2560.64,2593.62,2560.64,2576.11,131414200
00DSES,03-01-2022,1445.38,1458.59,1445.38,1451.39,131414200
DSEX,03-01-2022,6853.14,6923.45,6853.14,6882.30,131414200
DS30,03-01-2022,2560.64,2593.62,2560.64,2576.11,131414200
DSES,03-01-2022,1445.38,1458.59,1445.38,1451.39,131414200
1JANATAMF,03-01-2022,6.4,6.6,6.4,6.6,681438
1STPRIMFMF,03-01-2022,20.2,22.1,20.2,21.6,831750
AAMRANET,03-01-2022,44.6,46.4,44.6,45.4,614781
AAMRATECH,03-01-2022,29,30.2,28.8,29.6,600280
ABB1STMF,03-01-2022,5.7,5.8,5.6,5.7,233742
ABBANK,03-01-2022,14,14.2,13.7,13.8,936676
ACFL,03-01-2022,30.8,31.1,30.6,30.9,135791
ACI,03-01-2022,287.1,289.9,286.5,287.9,161731
ACIFORMULA,03-01-2022,152.5,152.5,149,151.1,9692
ACMELAB,03-01-2022,86,87.7,85.8,87,150763
ACMEPL,03-01-2022,28.8,29.9,28.4,29.5,2332259
ACTIVEFINE,03-01-2022,27,28.1,26.9,27.6,5109510
ADNTEL,03-01-2022,54.5,55.5,54.2,54.3,320222
ADVENT,03-01-2022,27.1,27.4,26.5,26.6,362201
AFCAGRO,03-01-2022,29.1,30.4,29.1,29.8,570028
AFTABAUTO,03-01-2022,27.1,28.3,27.1,28.1,33645
AGNISYSL,03-01-2022,21.7,22.3,21.4,22.2,1913956
AGRANINS,03-01-2022,60.6,60.8,58.2,58.5,521362
AIBL1STIMF,03-01-2022,8.6,8.6,8.5,8.6,36841
AIBLPBOND,03-01-2022,4790,4790,4790,4790,1
AIL,03-01-2022,46.4,47,46,46.1,224361
ALARABANK,03-01-2022,26.7,26.9,26.6,26.7,62299
AL-HAJTEX,03-01-2022,72.1,74.5,72.1,73.3,135353
ALIF,03-01-2022,14.6,15.2,14.6,14.7,4774620
ALLTEX,03-01-2022,17.2,17.6,17.1,17.5,345444
AMANFEED,03-01-2022,55.3,60.5,55.2,59.9,2052015
