00DSEX,03-07-2022,6376.94,6388.13,6352.13,6359.78,65483390
00DS30,03-07-2022,2295.59,2295.59,2280.31,2291.21,65483390
00DSES,03-07-2022,1386.78,1389.34,1380.74,1384.75,65483390
DSEX,03-07-2022,6376.94,6388.13,6352.13,6359.78,65483390
DS30,03-07-2022,2295.59,2295.59,2280.31,2291.21,65483390
DSES,03-07-2022,1386.78,1389.34,1380.74,1384.75,65483390
1JANATAMF,03-07-2022,6.4,6.5,6.3,6.3,307367
1STPRIMFMF,03-07-2022,17.9,18.2,17.7,17.9,110730
AAMRANET,03-07-2022,39.4,41.4,39.4,41.2,2408177
AAMRATECH,03-07-2022,33.2,34.6,33.2,33.8,2042228
ABB1STMF,03-07-2022,5.5,5.6,5.4,5.5,191196
ABBANK,03-07-2022,10.7,10.7,10.3,10.4,580747
ACFL,03-07-2022,28.8,28.9,27.5,27.9,195793
ACI,03-07-2022,279,282.8,279,279.4,46086
ACIFORMULA,03-07-2022,161.6,161.6,157.6,160.4,170796
ACMELAB,03-07-2022,89,89,88.1,88.3,98353
ACMEPL,03-07-2022,33.4,36.7,33.4,36.3,1890839
ACTIVEFINE,03-07-2022,21.4,21.5,21.3,21.3,529553
ADNTEL,03-07-2022,66.1,66.9,65.8,66.2,107393
ADVENT,03-07-2022,25.3,25.3,24.8,24.9,271707
AFCAGRO,03-07-2022,25.5,25.8,25,25.1,279240
AFTABAUTO,03-07-2022,27.8,28,27.3,27.3,68611
AGNISYSL,03-07-2022,23.5,23.9,23.2,23.8,1507477
AGRANINS,03-07-2022,43.4,44,43.2,43.3,20649
AIBL1STIMF,03-07-2022,7.9,7.9,7.8,7.9,85970
AIL,03-07-2022,47,47,46.2,46.2,19280
ALARABANK,03-07-2022,25.4,25.6,25.3,25.3,31384
AL-HAJTEX,03-07-2022,119,127,119,122.9,442608
ALIF,03-07-2022,14.4,14.4,14,14.1,2780853
ALLTEX,03-07-2022,25.4,25.4,24.7,24.7,649358
AMANFEED,03-07-2022,35.9,35.9,35.2,35.4,491443
AMBEEPHA,03-07-2022,517.3,549,514.6,544.5,24305
AMCL(PRAN),03-07-2022,271,275,271,272.9,6074
ANLIMAYARN,03-07-2022,37.8,37.8,37,37,76810
ANWARGALV,03-07-2022,424,424,415.8,417.4,45610
AOL,03-07-2022,39.6,39.6,37.5,37.7,156242
APEXFOODS,03-07-2022,181.7,183.9,178.3,178.4,32144
APEXFOOT,03-07-2022,290,290,270.1,272.6,10090
APEXSPINN,03-07-2022,130.4,133.9,129,129.5,33307
APEXTANRY,03-07-2022,155.7,155.7,149.8,149.8,33569
APOLOISPAT,03-07-2022,8.6,8.6,8.6,8.6,1273685
ARAMIT,03-07-2022,276.3,281.9,276.1,276.8,6140
ARAMITCEM,03-07-2022,32.2,32.8,31.6,31.8,209014
ARGONDENIM,03-07-2022,19.4,19.6,19.1,19.2,274167
ASIAINS,03-07-2022,57.4,57.8,55.8,56.1,168129
ASIAPACINS,03-07-2022,51.2,51.2,50.3,51,104181
ATCSLGF,03-07-2022,10,10,9.9,9.9,91109
ATLASBANG,03-07-2022,107.2,107.2,107.2,107.2,371
AZIZPIPES,03-07-2022,101.5,103.9,99.7,99.8,42607
BANGAS,03-07-2022,143,143.9,135.5,135.8,164378
BANKASIA,03-07-2022,20.5,20.8,20.5,20.6,122370
BARKAPOWER,03-07-2022,23.8,24,23.7,23.7,185348
BATASHOE,03-07-2022,920.1,929,918.3,922.8,598
BATBC,03-07-2022,543.8,543.9,541.2,541.8,68744
BAYLEASING,03-07-2022,26.7,26.7,26.3,26.4,322383
BBS,03-07-2022,23.7,23.8,23.2,23.4,1201761
BBSCABLES,03-07-2022,54.2,54.7,54,54.5,164880
BDAUTOCA,03-07-2022,138.9,150.8,138.9,147.3,181785
BDCOM,03-07-2022,33.9,34.6,33.7,34.4,1306225
BDFINANCE,03-07-2022,49.4,49.4,48.7,49.1,264402
BDLAMPS,03-07-2022,274.9,274.9,262.8,263.7,42834
BDTHAI,03-07-2022,18.6,19.6,18.6,19.5,3754918
BDTHAIFOOD,03-07-2022,36.2,36.8,35.2,36.6,410804
BDWELDING,03-07-2022,21.8,23.7,21.7,23.3,544163
BEACHHATCH,03-07-2022,44.7,45.5,44.4,44.5,178709
BEACONPHAR,03-07-2022,253.5,259,253.5,257.2,39671
BENGALWTL,03-07-2022,24,24,23.4,23.4,228576
BERGERPBL,03-07-2022,1722.5,1757.4,1722.5,1757.2,1301
BEXGSUKUK,03-07-2022,92.5,92.5,91,91.5,51965
BEXIMCO,03-07-2022,130.7,131.9,129.3,131.3,2112143
BGIC,03-07-2022,46,46.5,45.3,45.4,33038
BIFC,03-07-2022,6.7,6.7,6.6,6.6,550
BNICL,03-07-2022,71.2,71.2,68.5,68.5,138018
BPML,03-07-2022,54.4,57.1,54.3,55.5,627547
BPPL,03-07-2022,33.3,33.3,32.6,32.7,138127
BRACBANK,03-07-2022,41,41,40.7,40.7,436991
BSC,03-07-2022,119,119.4,115,115.1,789931
BSCCL,03-07-2022,223.7,226,219.2,224.8,546500
BSRMLTD,03-07-2022,98.7,98.7,97,97.1,18003
BSRMSTEEL,03-07-2022,67,67.2,66.8,66.9,38781
BXPHARMA,03-07-2022,152.3,156.9,152.3,154.6,78840
CAPMBDBLMF,03-07-2022,11.3,11.3,10.4,10.7,163094
CAPMIBBLMF,03-07-2022,15.7,15.7,15,15.1,76859
CENTRALINS,03-07-2022,42.8,43.3,42.4,42.8,38132
CENTRALPHL,03-07-2022,13.1,13.4,13.1,13.3,278930
CITYBANK,03-07-2022,23.1,23.1,22.9,22.9,384109
CITYGENINS,03-07-2022,30,30,29,29.5,54982
CNATEX,03-07-2022,10,10.1,9.9,10,407075
CONFIDCEM,03-07-2022,102.1,103,101.5,101.6,47534
CONTININS,03-07-2022,37,37,35.8,36.5,25417
COPPERTECH,03-07-2022,40,42.5,39.4,41.3,2780028
CROWNCEMNT,03-07-2022,77,81.9,76.6,77.2,22167
CRYSTALINS,03-07-2022,38.8,38.8,37.8,38,38230
CVOPRL,03-07-2022,187.1,188.7,184.1,185.1,83480
DACCADYE,03-07-2022,19,19.2,18.7,18.8,534829
DAFODILCOM,03-07-2022,70,70.1,69.7,69.8,4162
DBH,03-07-2022,61.6,61.9,61.3,61.5,31663
DBH1STMF,03-07-2022,7.3,7.3,7.2,7.2,82833
DELTALIFE,03-07-2022,124,125.9,124,125.6,178517
DELTASPINN,03-07-2022,8.4,8.4,8.2,8.2,741511
DESCO,03-07-2022,38.3,38.9,38.1,38.2,36850
DESHBANDHU,03-07-2022,19.2,19.3,18.8,18.9,324383
