Date,Scrip,Open,High,Low,Close,Volume
20220727,00DS30,2190.02393,2191.46829,2162.45665,2162.85243,7784318000
20220727,00DSES,1333.98041,1337.79287,1319.49418,1319.84173,7784318000
20220727,00DSEX,6112.24666,6120.09797,6037.50062,6038.00311,7784318000
20220727,1JANATAMF,6.3,6.3,6.1,6.1,510090
20220727,1STPRIMFMF,17.5,17.6,17.1,17.1,228245
20220727,AAMRANET,39.3,39.4,37.2,37.7,644937
20220727,AAMRATECH,31.6,32,30.2,30.3,1178241
20220727,ABB1STMF,5.4,5.5,5.3,5.3,848856
20220727,ABBANK,10.1,10.1,9.8,9.9,1058029
20220727,ACFL,26.8,26.8,26.3,26.3,112812
20220727,ACI,275,275,271.3,271.7,37461
20220727,ACIFORMULA,159,159,154.1,154.1,107903
20220727,ACMELAB,85.3,86,84.1,84.6,192153
20220727,ACMEPL,36.8,36.8,35.2,35.2,388105
20220727,ACTIVEFINE,19.7,19.7,19.2,19.2,387985
20220727,ADNTEL,62.3,62.3,58.4,58.4,35320
20220727,ADVENT,23,23.1,22.4,22.4,378702
20220727,AFCAGRO,23.6,24,23.5,23.5,119953
20220727,AFTABAUTO,25.3,25.8,25.3,25.5,15197
20220727,AGNISYSL,22.2,22.2,21.8,21.8,456597
20220727,AGRANINS,39.2,39.9,38.8,38.8,35662
20220727,AIBL1STIMF,7.3,7.4,7.2,7.3,43331
20220727,AIL,53.7,53.8,52.6,52.6,277294
20220727,AL-HAJTEX,134.6,137.3,133.7,136.6,359011
20220727,ALARABANK,23.4,24.2,23.4,23.6,39507
20220727,ALIF,13.4,13.4,13.2,13.2,2018285
20220727,ALLTEX,25.5,25.5,24.5,24.5,441813
20220727,AMANFEED,34.1,34.3,33.5,33.5,248215
20220727,AMBEEPHA,495,495,484,484.7,649
20220727,AMCL(PRAN),271.1,273,268.9,268.9,12725
20220727,ANLIMAYARN,37.6,37.9,36.9,36.9,139714
20220727,ANWARGALV,388,393,382.9,383.6,8697
20220727,AOL,37.4,37.4,36.4,36.5,75848
20220727,APEXFOODS,169,173,168.7,168.7,13482
20220727,APEXFOOT,260.5,268.9,257.5,259.6,13273
20220727,APEXSPINN,133,133,129.8,130.2,36913
20220727,APEXTANRY,129.5,129.5,126.9,126.9,15077
20220727,APOLOISPAT,8.2,8.2,8.2,8.2,368283
20220727,ARAMIT,271.3,273,271.2,271.2,7156
20220727,ARAMITCEM,31.5,32.5,31,31,123553
20220727,ARGONDENIM,18.4,18.5,18.3,18.3,62328
20220727,ASIAINS,50.7,51.8,49.5,49.6,365102
20220727,ASIAPACINS,44.9,45.6,44,44,23456
20220727,ATCSLGF,9.9,9.9,9.7,9.8,254104
20220727,ATLASBANG,102.7,103.9,101.9,102.6,14037
20220727,AZIZPIPES,96.6,96.6,94.9,94.9,23248
20220727,BANGAS,131.4,131.4,125.3,125.3,72422
20220727,BANKASIA,20.1,20.4,20,20.1,479788
20220727,BARKAPOWER,21.5,21.5,21.1,21.1,242409
20220727,BATASHOE,939,939,924.5,929.9,4478
20220727,BATBC,521.5,521.6,516,516.9,122940
20220727,BAYLEASING,24.4,24.4,23.9,23.9,336561
20220727,BBS,21.8,22.3,21.5,21.5,707299
20220727,BBSCABLES,52.7,53,52.1,52.2,189578
20220727,BDAUTOCA,136,139,134.6,134.6,14664
20220727,BDCOM,30.8,31.1,30.2,30.2,907055
20220727,BDFINANCE,47.9,48,44.8,44.8,704863
20220727,BDLAMPS,248,254,247.7,248,67193
20220727,BDTHAI,17.5,17.5,16.9,16.9,521896
20220727,BDTHAIFOOD,35.3,35.9,34.5,34.5,264307
20220727,BDWELDING,22.1,22.3,21.9,21.9,164056
20220727,BEACHHATCH,42,42,41.2,41.2,42390
20220727,BEACONPHAR,242.2,246.5,241.9,241.9,21856
20220727,BENGALWTL,21.9,22.1,21.7,21.7,123380
20220727,BERGERPBL,1758,1763.3,1707,1734.1,408
20220727,BEXGSUKUK,86,86,84.5,84.5,78052
20220727,BEXIMCO,116,118.9,115.7,115.7,2272704
20220727,BGIC,40,41.5,39.2,39.3,30851
20220727,BIFC,9.5,9.5,9.5,9.5,536066
20220727,BNICL,60.9,60.9,56.5,56.5,119617
20220727,BPML,51,51.9,49.1,49.3,185331
20220727,BPPL,29.7,29.7,29.2,29.2,285293
20220727,BRACBANK,39,39,38.5,38.5,272458
20220727,BSC,108.7,109.5,106.6,106.6,503151
20220727,BSCCL,218.1,222,215.2,218.7,79494
20220727,BSRMLTD,91,92.4,90,90.3,29741
20220727,BSRMSTEEL,66.3,66.3,63.8,63.9,52883
20220727,BXPHARMA,150.1,151.9,146.3,146.3,552393
20220727,CAPMBDBLMF,10.4,10.6,10.2,10.5,297400
20220727,CAPMIBBLMF,14.9,14.9,14.4,14.4,127056
20220727,CENTRALINS,38,38.6,37.3,37.3,37576
20220727,CENTRALPHL,12.6,12.6,12.4,12.4,289109
20220727,CITYBANK,21.9,22.1,21.8,21.8,870436
20220727,CITYGENINS,27.5,27.5,26.7,26.7,64394
20220727,CNATEX,10.4,10.4,10.2,10.2,1022079
20220727,CONFIDCEM,94,95.6,93.2,93.2,34213
20220727,CONTININS,32.6,33.2,32.1,32.1,55101
20220727,COPPERTECH,39.6,39.6,38.4,38.4,373646
20220727,CROWNCEMNT,75.1,75.1,75.1,75.1,1105
20220727,CRYSTALINS,36.1,36.1,35.4,35.4,35050
20220727,CVOPRL,165.5,169,162.1,162.1,108653
20220727,DACCADYE,18.2,18.2,17.9,17.9,212148
20220727,DAFODILCOM,69,69,64.6,64.9,946
20220727,DBH,58.9,58.9,57.5,57.9,15523
