00DSEX,28-06-2022,6320.33,6355.14,6320.33,6342.59,81882640
00DS30,28-06-2022,2285.21,2299.21,2285.21,2294.58,81882640
00DSES,28-06-2022,1380.81,1388.60,1380.81,1385.65,81882640
DSEX,28-06-2022,6320.33,6355.14,6320.33,6342.59,81882640
DS30,28-06-2022,2285.21,2299.21,2285.21,2294.58,81882640
DSES,28-06-2022,1380.81,1388.60,1380.81,1385.65,81882640
1JANATAMF,28-06-2022,6.3,6.3,6.2,6.3,165540
1STPRIMFMF,28-06-2022,18.5,18.7,18.1,18.1,511082
AAMRANET,28-06-2022,36.7,37.2,36.5,36.8,377459
AAMRATECH,28-06-2022,31.6,32.3,31.6,31.7,672133
ABB1STMF,28-06-2022,5.5,5.6,5.4,5.5,143485
ABBANK,28-06-2022,10.3,10.7,10.3,10.6,837455
ACFL,28-06-2022,26.6,27.6,26.6,27.3,326643
ACI,28-06-2022,280.5,281.8,279,281.5,51506
ACIFORMULA,28-06-2022,161.9,161.9,157.5,158.1,205862
ACMELAB,28-06-2022,89,89.1,88.3,88.6,114436
ACMEPL,28-06-2022,30.9,32.8,30.9,32.5,777917
ACTIVEFINE,28-06-2022,21.7,21.9,21.4,21.5,1332710
ADNTEL,28-06-2022,65.5,66.9,65.5,65.8,54538
ADVENT,28-06-2022,24.8,25.5,24.8,25.1,388712
AFCAGRO,28-06-2022,24.6,25.9,24.6,25.7,907597
AFTABAUTO,28-06-2022,25.5,25.9,25.4,25.6,96024
AGNISYSL,28-06-2022,22.7,23.1,22.6,22.8,647090
AGRANINS,28-06-2022,46.8,46.8,42.3,43,64164
AIBL1STIMF,28-06-2022,8,8.1,7.9,8,72832
AIBLPBOND,28-06-2022,4680,4680,4680,4680,1
AIL,28-06-2022,48.1,48.1,46.4,46.7,40359
ALARABANK,28-06-2022,25.7,25.7,25.4,25.5,105861
AL-HAJTEX,28-06-2022,117.5,123,117.5,119.4,545128
ALIF,28-06-2022,14.2,14.3,13.8,13.9,2445624
ALLTEX,28-06-2022,26.5,26.9,25.1,25.2,1385979
AMANFEED,28-06-2022,35.8,36,35.2,35.8,611975
AMBEEPHA,28-06-2022,456.1,503,456.1,491,10326
AMCL(PRAN),28-06-2022,273.8,274,270,271.7,7420
ANLIMAYARN,28-06-2022,37.3,38.6,37.3,38,524707
ANWARGALV,28-06-2022,412.1,418.7,410.1,412.9,81760
AOL,28-06-2022,38.2,38.4,37.5,37.8,123473
APEXFOODS,28-06-2022,179.1,180.5,175.5,177.2,28198
APEXFOOT,28-06-2022,278.9,278.9,266,267.3,16261
APEXSPINN,28-06-2022,135.3,135.3,131.4,132.1,39709
APEXTANRY,28-06-2022,153.4,153.4,147.3,147.5,141645
APOLOISPAT,28-06-2022,7.9,8.6,7.9,8.5,4356244
ARAMIT,28-06-2022,287.9,287.9,272,273.3,7226
ARAMITCEM,28-06-2022,33.5,33.5,32.1,32.1,242256
ARGONDENIM,28-06-2022,18.3,19.3,18.3,19.2,194329
ASIAINS,28-06-2022,57.8,58.7,56.6,57,220053
ASIAPACINS,28-06-2022,52,52.5,51,51.1,33928
ATCSLGF,28-06-2022,10,10.1,9.9,9.9,386507
ATLASBANG,28-06-2022,104.3,109.8,104.2,107.9,8573
AZIZPIPES,28-06-2022,95,96.4,93.7,95.5,34312
BANGAS,28-06-2022,145.4,145.7,140.2,141.9,119230
BANKASIA,28-06-2022,19.7,20.1,19.7,20,311387
BARKAPOWER,28-06-2022,23.6,24.2,23.5,23.9,226196
BATASHOE,28-06-2022,930,947,923,933.6,2464
BATBC,28-06-2022,543.7,544,541,541.9,161737
BAYLEASING,28-06-2022,26.5,26.8,26.3,26.5,926295
BBS,28-06-2022,22.9,23.3,22.7,23.2,2112696
BBSCABLES,28-06-2022,54.8,54.8,53,53.7,769778
BDAUTOCA,28-06-2022,136.9,138.3,134.6,134.9,30481
BDCOM,28-06-2022,33.7,34.7,33.6,34.3,2337042
BDFINANCE,28-06-2022,49.2,50.1,49,49.8,4526094
BDLAMPS,28-06-2022,263.5,263.5,249.9,251.7,38501
BDTHAI,28-06-2022,17.7,17.7,17.3,17.5,258860
BDTHAIFOOD,28-06-2022,35.8,36.7,35.6,36.5,564543
BDWELDING,28-06-2022,23.2,23.2,22.4,22.4,293756
BEACHHATCH,28-06-2022,45.2,45.5,44.4,44.7,227970
BEACONPHAR,28-06-2022,262,262,256,259.6,71000
BENGALWTL,28-06-2022,23.4,24,22.6,23.8,690209
BERGERPBL,28-06-2022,1733,1760,1733,1747.6,2884
BEXGSUKUK,28-06-2022,95,97.5,93.5,94.5,994594
BEXIMCO,28-06-2022,131.8,133.2,131.3,132.4,2200022
BGIC,28-06-2022,45.9,46,45.5,45.6,16530
BIFC,28-06-2022,6.5,6.5,6.4,6.4,78025
BNICL,28-06-2022,67.2,69,65,67.1,284103
BPML,28-06-2022,52,53.5,52,53.1,303262
BPPL,28-06-2022,32.8,32.9,32.5,32.7,196822
BRACBANK,28-06-2022,39.6,40.9,39.6,40.5,2543582
BSC,28-06-2022,116.4,117,115.4,115.6,1348789
BSCCL,28-06-2022,215.3,216,214.2,214.7,80025
BSRMLTD,28-06-2022,94.7,96.7,94.7,96.2,49548
BSRMSTEEL,28-06-2022,67,67.4,66.4,66.7,39677
BXPHARMA,28-06-2022,160.9,160.9,156.6,157.3,274111
CAPMBDBLMF,28-06-2022,10.5,10.5,10.3,10.5,202955
CAPMIBBLMF,28-06-2022,16,16,15.2,15.2,294548
CENTRALINS,28-06-2022,42.1,43.2,41.7,42,61963
CENTRALPHL,28-06-2022,13.1,13.4,13,13.4,728496
CITYBANK,28-06-2022,22.9,23,22.8,22.9,482466
CITYGENINS,28-06-2022,32.8,32.8,29.8,29.9,223438
CNATEX,28-06-2022,10.2,10.3,10,10.1,493276
CONFIDCEM,28-06-2022,102.5,102.9,101,102.6,120002
CONTININS,28-06-2022,38,38,36.2,36.5,26809
COPPERTECH,28-06-2022,39,39.6,38.5,38.8,378820
CROWNCEMNT,28-06-2022,68.2,72.2,68.2,71.6,20968
CRYSTALINS,28-06-2022,39.9,39.9,38,38.5,59024
CVOPRL,28-06-2022,193,200,189.1,190.9,369670
DACCADYE,28-06-2022,19.3,19.8,19.2,19.4,1451370
DAFODILCOM,28-06-2022,71.5,71.5,71.5,71.5,610
DBH,28-06-2022,62.4,62.4,61.5,62.3,34810
DBH1STMF,28-06-2022,7.2,7.3,7.1,7.2,37251
DELTALIFE,28-06-2022,122.8,129.2,122.8,128.6,1401286
DELTASPINN,28-06-2022,8,8.2,7.9,8.1,596631
DESCO,28-06-2022,40.9,40.9,37.5,37.8,29976
DESHBANDHU,28-06-2022,18.6,19.7,18.3,19.4,1373030
DGIC,28-06-2022,31.5,31.5,30.2,30.4,30402
DHAKABANK,28-06-2022,13.2,13.4,13.1,13.3,141266
DHAKAINS,28-06-2022,56.7,57,55.2,55.5,65409
DOMINAGE,28-06-2022,23.9,23.9,22.9,23.2,309050
DOREENPWR,28-06-2022,76.9,77.6,76.7,76.9,144850
DSHGARME,28-06-2022,164,167.9,164,166.6,45237
DSSL,28-06-2022,18,18.2,17.8,17.9,1215531
DULAMIACOT,28-06-2022,77.9,77.9,73.4,73.9,9049
DUTCHBANGL,28-06-2022,64.1,64.5,64,64,72606
EASTERNINS,28-06-2022,61.7,63,60.9,61.2,69299
EASTLAND,28-06-2022,28.6,29.3,28.4,28.5,195057
EASTRNLUB,28-06-2022,1856,1858.1,1825.6,1832.1,1552
EBL,28-06-2022,32.5,32.5,31.8,32.3,162772
EBL1STMF,28-06-2022,7.5,7.6,7.5,7.6,119830
EBLNRBMF,28-06-2022,6.4,6.5,6.3,6.4,1446580
ECABLES,28-06-2022,146.9,152.7,145.2,148.5,98288
EGEN,28-06-2022,44.8,46,44.8,45.1,34444
EHL,28-06-2022,58.8,59.6,58.5,58.8,375741
EIL,28-06-2022,31.9,31.9,31.1,31.7,451696
EMERALDOIL,28-06-2022,44.6,44.7,43.8,44,915903
ENVOYTEX,28-06-2022,46.9,46.9,44.7,45.1,99912
EPGL,28-06-2022,38.7,39.9,38.5,39.4,226332
ESQUIRENIT,28-06-2022,33.8,34.9,33.8,34.7,96585
ETL,28-06-2022,9.3,9.4,9.2,9.2,433341
EXIM1STMF,28-06-2022,6.1,6.2,6,6.1,268203
EXIMBANK,28-06-2022,11.2,11.3,11.1,11.2,668254
FAMILYTEX,28-06-2022,4.9,4.9,4.9,4.9,80943
FARCHEM,28-06-2022,11,11.3,11,11.2,484437
FAREASTFIN,28-06-2022,5.5,5.5,5.4,5.4,23615
FAREASTLIF,28-06-2022,84.7,86.1,84.2,84.7,121090
FASFIN,28-06-2022,5,5,4.9,5,422449
FBFIF,28-06-2022,5.2,5.3,5.2,5.2,1310331
FEDERALINS,28-06-2022,29,29.4,28.6,29.1,74584
FEKDIL,28-06-2022,18,18.3,17.9,18.2,645262
FINEFOODS,28-06-2022,45.3,47.6,45.2,45.7,250711
FIRSTFIN,28-06-2022,5.1,5.1,5,5.1,11144
FIRSTSBANK,28-06-2022,10.4,10.5,10.3,10.4,1719281
FORTUNE,28-06-2022,92,94,91.5,91.5,1499550
FUWANGCER,28-06-2022,20.3,20.6,19.8,19.9,4410690
FUWANGFOOD,28-06-2022,25.4,26.1,25.2,25.6,8826591
GBBPOWER,28-06-2022,21.9,22.7,21.7,22.6,880222
GEMINISEA,28-06-2022,356,369,344.9,345.6,81485
