00DSEX,31-03-2022,6753.76,6766.11,6730.33,6757.84,111694650
00DS30,31-03-2022,2465.60,2474.89,2461.15,2474.01,111694650
00DSES,31-03-2022,1463.93,1468.59,1459.86,1468.11,111694650
DSEX,31-03-2022,6753.76,6766.11,6730.33,6757.84,111694650
DS30,31-03-2022,2465.60,2474.89,2461.15,2474.01,111694650
DSES,31-03-2022,1463.93,1468.59,1459.86,1468.11,111694650
1JANATAMF,31-03-2022,6.5,6.6,6.4,6.4,1079079
1STPRIMFMF,31-03-2022,18,18.3,18,18.2,190015
AAMRANET,31-03-2022,45.2,46,44.4,45.1,745978
AAMRATECH,31-03-2022,40.2,41.4,40,40.5,2030676
ABB1STMF,31-03-2022,5.8,5.8,5.6,5.6,496702
ABBANK,31-03-2022,11.9,12,11.7,11.7,1002267
ACFL,31-03-2022,28.8,29,28.6,29,93938
ACI,31-03-2022,294.7,294.7,290,292.1,78936
ACIFORMULA,31-03-2022,169.1,171.9,169.1,169.5,36609
ACMELAB,31-03-2022,90.5,91.4,90.1,90.8,184509
ACMEPL,31-03-2022,36.6,36.8,36,36.5,963570
ACTIVEFINE,31-03-2022,22.8,22.8,22.4,22.6,670096
ADNTEL,31-03-2022,65.5,65.7,64.4,65.1,222941
ADVENT,31-03-2022,30,30.5,29.6,30.1,4717407
AFCAGRO,31-03-2022,25.1,25.3,24.9,25,92005
AFTABAUTO,31-03-2022,26.7,27.1,26.7,27,9431
AGNISYSL,31-03-2022,26.3,26.7,26,26.4,842707
AGRANINS,31-03-2022,51.2,54,51.2,53.3,468764
AIBL1STIMF,31-03-2022,8.8,8.8,8.6,8.6,38802
AIL,31-03-2022,48.1,49,48,48.3,105675
ALARABANK,31-03-2022,26.5,26.8,26.5,26.7,47186
AL-HAJTEX,31-03-2022,104.6,106,104.1,105.2,206987
ALIF,31-03-2022,14.1,14.2,13.9,14,2395187
ALLTEX,31-03-2022,29.1,29.7,28.4,28.8,2138420
AMANFEED,31-03-2022,43.9,44.4,43.7,43.9,437983
AMBEEPHA,31-03-2022,471,499.9,471,481.7,408
AMCL(PRAN),31-03-2022,338.1,343,333.5,335.6,43591
ANLIMAYARN,31-03-2022,39,39,37.8,37.9,15801
ANWARGALV,31-03-2022,400,400,388.7,388.7,221532
AOL,31-03-2022,42.7,42.7,41.5,41.8,186356
APEXFOODS,31-03-2022,222.9,227.9,221,223.3,149938
APEXFOOT,31-03-2022,312,312,304,304.9,54611
APEXSPINN,31-03-2022,153.2,156.7,153,155.2,53332
APEXTANRY,31-03-2022,135.1,139,135,136.3,28912
APOLOISPAT,31-03-2022,9.1,9.2,9,9.1,737585
APSCLBOND,31-03-2022,5450,5450,5450,5450,3
ARAMIT,31-03-2022,337.5,338.9,335.9,337.2,14746
ARAMITCEM,31-03-2022,35.1,35.3,34.6,35,126042
ARGONDENIM,31-03-2022,18.5,18.5,18.2,18.4,125276
ASIAINS,31-03-2022,84.1,84.7,82.2,82.6,514370
ASIAPACINS,31-03-2022,55,56,54.2,55.2,118500
ATCSLGF,31-03-2022,10.2,10.4,10.2,10.3,605012
ATLASBANG,31-03-2022,123.3,123.3,114.2,115.5,18767
AZIZPIPES,31-03-2022,106,108.5,105.3,108,19313
BANGAS,31-03-2022,124,125.9,122.9,123.7,49710
BANKASIA,31-03-2022,20.8,21.2,20.5,20.5,319329
BARKAPOWER,31-03-2022,24.7,25.1,24.7,24.9,475685
BATASHOE,31-03-2022,900,927.9,895,898.4,1100
BATBC,31-03-2022,580.1,587,580.1,584.5,85417
BAYLEASING,31-03-2022,27.8,28.3,27.4,28.1,640816
BBS,31-03-2022,24.1,24.9,23.9,24.8,2877438
BBSCABLES,31-03-2022,56.3,57,56.3,56.8,118296
BDAUTOCA,31-03-2022,141.5,147,140.7,144,30183
BDCOM,31-03-2022,40.7,42,39.9,41,3646906
BDFINANCE,31-03-2022,41.3,41.7,40.8,41.1,115481
BDLAMPS,31-03-2022,358,362,349.4,352.3,216990
BDTHAI,31-03-2022,19,19.1,18.6,18.9,463443
BDTHAIFOOD,31-03-2022,41.2,41.7,40.8,41.1,635162
BDWELDING,31-03-2022,20,20,19.5,19.5,91934
BEACHHATCH,31-03-2022,42.2,42.2,40.6,41.5,206745
BEACONPHAR,31-03-2022,240.2,251.9,240.2,250.1,678077
BENGALWTL,31-03-2022,23.2,23.5,22.8,23.2,115478
BERGERPBL,31-03-2022,1751,1761,1751,1753.6,49
BEXGSUKUK,31-03-2022,86.5,89,86.5,88,47496
BEXIMCO,31-03-2022,153.7,154.6,151.8,153.1,3068982
BGIC,31-03-2022,50.5,50.8,49.2,49.8,30356
BNICL,31-03-2022,103,105.9,102.9,103.1,1000537
BPML,31-03-2022,55.8,56.1,55.2,55.5,372330
BPPL,31-03-2022,32.5,32.8,32.3,32.5,144417
BRACBANK,31-03-2022,49.9,50,49.4,49.7,1215761
BSC,31-03-2022,110.9,110.9,107.5,108.1,637863
BSCCL,31-03-2022,210.5,212.4,210.2,212.1,91576
BSRMLTD,31-03-2022,108,108,104.7,105.8,160291
BSRMSTEEL,31-03-2022,75.5,75.8,74.2,75.2,173689
BXPHARMA,31-03-2022,178.9,178.9,175,176.2,417604
CAPMBDBLMF,31-03-2022,10.1,10.2,10,10.1,161075
CAPMIBBLMF,31-03-2022,15.7,16.4,15.7,16.1,365273
CENTRALINS,31-03-2022,51.6,51.6,49.5,51,187317
CENTRALPHL,31-03-2022,15.4,15.5,15.1,15.2,394157
CITYBANK,31-03-2022,26,26,25.8,25.9,348485
CITYGENINS,31-03-2022,35.5,35.9,34.2,34.6,262876
CNATEX,31-03-2022,11.2,11.2,10.9,10.9,1888191
CONFIDCEM,31-03-2022,113.1,114.2,113.1,114,34740
CONTININS,31-03-2022,43.4,44,42.2,42.9,485318
COPPERTECH,31-03-2022,38.8,38.8,37.8,37.9,485217
CROWNCEMNT,31-03-2022,70,70,67.9,68.5,20064
CRYSTALINS,31-03-2022,45.3,45.4,44.4,44.5,49546
CVOPRL,31-03-2022,200.5,202.8,198,198.3,105733
DACCADYE,31-03-2022,20.9,20.9,20.3,20.6,404161
DAFODILCOM,31-03-2022,74,74,74,74,10
DBH,31-03-2022,65.3,65.8,65,65.6,53849
DBH1STMF,31-03-2022,7.5,7.6,7.4,7.5,32064
DELTALIFE,31-03-2022,155,155.7,151.2,152.3,274165
DELTASPINN,31-03-2022,10,10,9.7,9.8,873192
DESCO,31-03-2022,39.5,39.6,39,39.1,25531
DESHBANDHU,31-03-2022,21.6,22,21.3,21.8,458912
DGIC,31-03-2022,35.4,35.6,35,35.2,58988
DHAKABANK,31-03-2022,14.3,14.5,14.2,14.3,322692
DHAKAINS,31-03-2022,63.3,65,63.2,64.6,93016
DOMINAGE,31-03-2022,23.1,23.4,23,23.3,87449
DOREENPWR,31-03-2022,72,72,71,71.3,118611
DSHGARME,31-03-2022,166,166,162.5,163.3,20773
DSSL,31-03-2022,20.5,20.6,20.4,20.4,4124900
DULAMIACOT,31-03-2022,57.9,57.9,57,57.3,2172
DUTCHBANGL,31-03-2022,68.9,68.9,67.6,67.7,258200
EASTERNINS,31-03-2022,84.4,84.5,81.5,82,298447
EASTLAND,31-03-2022,36.3,36.3,34.7,35,67363
EASTRNLUB,31-03-2022,2072.7,2082,2060,2062.2,2767
EBL,31-03-2022,38.5,38.9,38,38.4,569712
EBL1STMF,31-03-2022,7.6,7.6,7.5,7.6,80391
EBLNRBMF,31-03-2022,6.4,6.5,6.4,6.4,796783
ECABLES,31-03-2022,144,144,139.4,139.9,7231
EGEN,31-03-2022,49,49.6,48.4,49.4,75111
EHL,31-03-2022,55,55.5,54.4,54.8,288532
EIL,31-03-2022,32.2,33.2,31.8,32.2,255906
EMERALDOIL,31-03-2022,34.8,35.2,34.3,34.3,234112
ENVOYTEX,31-03-2022,43.3,43.7,42.8,42.8,151091
EPGL,31-03-2022,39.5,39.5,38.7,38.9,132552
ESQUIRENIT,31-03-2022,33.8,34.2,33.8,34,60549
