00DSEX,17-05-2022,6430.93,6484.37,6318.90,6403.51,77976480
00DS30,17-05-2022,2365.92,2386.84,2330.13,2363.67,77976480
00DSES,17-05-2022,1410.30,1422.28,1389.54,1408.77,77976480
DSEX,17-05-2022,6430.93,6484.37,6318.90,6403.51,77976480
DS30,17-05-2022,2365.92,2386.84,2330.13,2363.67,77976480
DSES,17-05-2022,1410.30,1422.28,1389.54,1408.77,77976480
1JANATAMF,17-05-2022,6,6.1,6,6.1,435195
1STPRIMFMF,17-05-2022,16.8,17,16.5,16.8,79766
AAMRANET,17-05-2022,38.1,38.4,36.1,37.4,372865
AAMRATECH,17-05-2022,34.4,35,32.5,33.8,721568
ABB1STMF,17-05-2022,5.5,5.5,5.4,5.5,215366
ABBANK,17-05-2022,10.8,11,10.6,10.6,715821
ACFL,17-05-2022,27.6,27.6,26.4,27.3,80232
ACI,17-05-2022,284.9,285,275,281.3,123959
ACIFORMULA,17-05-2022,211.2,214.8,198.8,201.1,772234
ACMELAB,17-05-2022,91,91.1,89,90.1,335614
ACMEPL,17-05-2022,29.6,29.9,27.9,28.5,715483
ACTIVEFINE,17-05-2022,21.4,21.4,20.2,20.7,905484
ADNTEL,17-05-2022,68.7,69.9,65.2,67.1,394611
ADVENT,17-05-2022,26.7,26.7,25.8,26.3,613002
AFCAGRO,17-05-2022,24,24,22.4,23.2,158657
AFTABAUTO,17-05-2022,25.9,26,24.6,24.8,228807
AGNISYSL,17-05-2022,22.6,23,21.5,22.3,1350446
AGRANINS,17-05-2022,46.1,46.3,44.6,45.1,292839
AIBL1STIMF,17-05-2022,8.9,8.9,8.6,8.8,171677
AIBLPBOND,17-05-2022,4557,4557,4557,4557,1
AIL,17-05-2022,45.5,45.6,44.5,45.4,59992
ALARABANK,17-05-2022,26.3,26.4,26,26.2,139649
AL-HAJTEX,17-05-2022,99.3,103.7,94,98.6,264210
ALIF,17-05-2022,13.1,13.4,12.7,13.2,2706202
ALLTEX,17-05-2022,24.3,24.3,22.4,23.3,879170
AMANFEED,17-05-2022,41,41.5,39.5,40.7,464569
AMBEEPHA,17-05-2022,435,435,425.5,427.8,4002
AMCL(PRAN),17-05-2022,283.9,283.9,266.1,276.7,36001
ANLIMAYARN,17-05-2022,34.7,36.5,34.6,35.3,32383
ANWARGALV,17-05-2022,372.8,372.8,356,360.2,40512
AOL,17-05-2022,37,37.7,35.1,36.1,144151
APEXFOODS,17-05-2022,181.5,188,176.2,180.7,84507
APEXFOOT,17-05-2022,287,287,264,282.6,57928
APEXSPINN,17-05-2022,135.9,135.9,126.6,132.2,48341
APEXTANRY,17-05-2022,165.8,165.9,152.3,159.1,97705
APOLOISPAT,17-05-2022,8.6,8.7,8.2,8.3,1311384
ARAMIT,17-05-2022,283.1,284.1,269,274.6,7111
ARAMITCEM,17-05-2022,30.5,30.5,28.8,29.2,128529
ARGONDENIM,17-05-2022,18.1,18.4,17.5,17.8,121167
ASIAINS,17-05-2022,61,63,58.9,59.3,504115
ASIAPACINS,17-05-2022,52.1,52.6,50.1,50.7,47347
ATCSLGF,17-05-2022,9.9,9.9,9.5,9.7,132138
ATLASBANG,17-05-2022,102.4,106.8,101.8,103.7,24114
AZIZPIPES,17-05-2022,97,99.2,94.1,95.7,16012
BANGAS,17-05-2022,143,148,139.3,147.1,354894
BANKASIA,17-05-2022,18.4,18.6,18.1,18.5,32441
BARKAPOWER,17-05-2022,24.3,24.6,24.1,24.4,442969
BATASHOE,17-05-2022,931,939.9,910.6,931.8,2822
BATBC,17-05-2022,563,567.8,550,553.6,141802
BAYLEASING,17-05-2022,27.4,27.7,25.7,26.5,1125052
BBS,17-05-2022,23.4,23.7,22.6,23.4,1557550
BBSCABLES,17-05-2022,55,56.2,54,54.6,248048
BDAUTOCA,17-05-2022,134.8,138.4,133.1,135.2,25677
BDCOM,17-05-2022,32.3,33.3,30.4,31.8,1405636
BDFINANCE,17-05-2022,46.6,46.9,45.8,46.3,717135
BDLAMPS,17-05-2022,279.8,279.9,258.1,272.4,98184
BDTHAI,17-05-2022,17.8,18,17.5,17.7,446997
BDTHAIFOOD,17-05-2022,37.9,38.6,35.7,37.1,675228
BDWELDING,17-05-2022,18.5,19,17.7,18.2,215706
BEACHHATCH,17-05-2022,39.8,40,38.9,39.7,458595
BEACONPHAR,17-05-2022,278,280,273,278.5,107463
BENGALWTL,17-05-2022,21.6,22,21.1,21.6,83055
BERGERPBL,17-05-2022,1753.6,1760,1750,1750.6,1335
BEXGSUKUK,17-05-2022,87.5,88,86,86.5,49572
BEXIMCO,17-05-2022,138.6,140,133.2,138.8,3443315
