00DSEX,19-05-2022,6309.92,6324.86,6222.67,6258.25,66888120
00DS30,19-05-2022,2336.49,2340.45,2301.83,2316.68,66888120
00DSES,19-05-2022,1391.51,1394.50,1371.09,1383.04,66888120
DSEX,19-05-2022,6309.92,6324.86,6222.67,6258.25,66888120
DS30,19-05-2022,2336.49,2340.45,2301.83,2316.68,66888120
DSES,19-05-2022,1391.51,1394.50,1371.09,1383.04,66888120
1JANATAMF,19-05-2022,6.1,6.1,6,6,307416
1STPRIMFMF,19-05-2022,17,17,16.4,16.4,48524
AAMRANET,19-05-2022,36.3,37.3,36,36.4,286775
AAMRATECH,19-05-2022,32.3,32.9,31.2,31.7,564544
ABB1STMF,19-05-2022,5.3,5.4,5.3,5.3,116246
ABBANK,19-05-2022,10.4,10.7,10.4,10.5,388194
ACFL,19-05-2022,26.4,27,25.8,26.8,29877
ACI,19-05-2022,276.1,279,274,275.6,56232
ACIFORMULA,19-05-2022,187,191,181.6,181.6,680066
ACMELAB,19-05-2022,87,88.4,86.2,86.9,197762
ACMEPL,19-05-2022,27.5,29,27.5,28.1,400384
ACTIVEFINE,19-05-2022,20.3,20.5,20,20,1022708
ADNTEL,19-05-2022,63,66.3,61.6,64,431086
ADVENT,19-05-2022,25.8,25.8,25,25.1,491408
AFCAGRO,19-05-2022,23,23.1,22.4,22.7,62557
AFTABAUTO,19-05-2022,24.7,25.3,24.3,25,30375
AGNISYSL,19-05-2022,21.5,22.1,21.3,21.5,665135
AGRANINS,19-05-2022,44.6,45.8,42.8,43.8,67383
AIBL1STIMF,19-05-2022,8.7,8.7,8.6,8.7,120783
AIL,19-05-2022,43.1,45.7,43.1,44,66914
ALARABANK,19-05-2022,26,26.2,26,26.1,120663
AL-HAJTEX,19-05-2022,96.4,97.8,93.6,96.5,213941
ALIF,19-05-2022,12.9,13,12.6,12.8,1490840
ALLTEX,19-05-2022,21.6,22.8,21.5,22.1,667195
AMANFEED,19-05-2022,38.6,39.7,37.6,38.4,313461
AMBEEPHA,19-05-2022,430,430,413,414.8,2316
AMCL(PRAN),19-05-2022,260.5,267,255.1,259.2,30273
ANLIMAYARN,19-05-2022,36.1,36.1,34.6,34.9,10838
ANWARGALV,19-05-2022,341.1,355,341,345.8,32680
AOL,19-05-2022,34.8,35.9,34.8,35.3,78838
APEXFOODS,19-05-2022,183.8,183.8,175.2,177.1,28830
APEXFOOT,19-05-2022,275.9,276,267.3,268.1,27381
APEXSPINN,19-05-2022,129.3,131.6,126.1,127.4,58358
APEXTANRY,19-05-2022,157,157,145.8,147.8,76391
APOLOISPAT,19-05-2022,8,8.2,7.9,7.9,707066
ARAMIT,19-05-2022,280,280,265.8,267.6,14143
ARAMITCEM,19-05-2022,29.9,29.9,27.1,28,86674
ARGONDENIM,19-05-2022,17.4,17.8,17.1,17.3,90615
ASIAINS,19-05-2022,55.6,55.6,53.6,53.9,513750
ASIAPACINS,19-05-2022,49,52,48.7,50.9,98481
ATCSLGF,19-05-2022,9.6,9.7,9.5,9.6,206092
ATLASBANG,19-05-2022,99.6,102,99.6,101.5,3126
AZIZPIPES,19-05-2022,98.6,98.6,93,94.2,13914
BANGAS,19-05-2022,155.8,158,151.3,151.3,434761
BANKASIA,19-05-2022,18,18.7,17.9,18.1,216971
BARKAPOWER,19-05-2022,24.4,24.4,24,24.2,230186
BATASHOE,19-05-2022,915,940,912,923.6,1871
BATBC,19-05-2022,547.7,547.7,535.1,539.5,179774
BAYLEASING,19-05-2022,25.3,26,24.7,25.3,776496
BBS,19-05-2022,22.5,23.5,22.4,22.9,1180969
BBSCABLES,19-05-2022,54,54,52.6,53.3,257583
BDAUTOCA,19-05-2022,132.3,137.9,132.3,133.4,27199
BDCOM,19-05-2022,30.3,31.7,29.3,30.3,1557748
BDFINANCE,19-05-2022,46,47.4,45.6,46,668074
BDLAMPS,19-05-2022,260,265.9,253.4,256.3,88199
BDTHAI,19-05-2022,17.3,17.7,16.9,17.2,218139
BDTHAIFOOD,19-05-2022,39.5,39.9,37.6,38.2,700606
BDWELDING,19-05-2022,18.3,18.6,18,18.1,98360
BEACHHATCH,19-05-2022,41.4,42.2,39.7,39.9,528559
BEACONPHAR,19-05-2022,287.1,297.9,287.1,295.6,197564
BENGALWTL,19-05-2022,21.6,21.9,20.9,21.4,124192
BERGERPBL,19-05-2022,1750,1755.9,1725,1732.4,724
BEXGSUKUK,19-05-2022,86,88,85.5,86.5,32654
BEXIMCO,19-05-2022,134,136.8,130.2,132.1,4006075
BGIC,19-05-2022,45.6,45.6,43.7,44.6,28656
BIFC,19-05-2022,6.6,7,6.6,6.8,26655
BNICL,19-05-2022,66,75.4,65.2,75.4,162469
BPML,19-05-2022,51,52.8,49.9,50.9,442602
BPPL,19-05-2022,31,31.6,30.6,31,329203
BRACBANK,19-05-2022,44.3,44.9,43.5,43.7,835726
BSC,19-05-2022,110.4,119.8,108.5,116.7,1774863
BSCCL,19-05-2022,203.3,211,203.3,209.3,51259
BSRMLTD,19-05-2022,100,100,94.6,95.1,407863
BSRMSTEEL,19-05-2022,70,70.9,68.3,68.6,216215
BXPHARMA,19-05-2022,152,153,146.4,150.2,281905
CAPMBDBLMF,19-05-2022,9.5,9.6,9.2,9.2,235157
CAPMIBBLMF,19-05-2022,13.5,13.5,13.1,13.2,160736
CENTRALINS,19-05-2022,41.9,43,41,43,58281
CENTRALPHL,19-05-2022,13,13,12.6,12.8,229323
CITYBANK,19-05-2022,22.9,23.1,22.5,22.9,705250
CITYGENINS,19-05-2022,26,26.5,25.5,25.8,139948
CNATEX,19-05-2022,8.2,9.1,7.9,9,2590239
CONFIDCEM,19-05-2022,104.1,105.5,102.6,104.8,55836
CONTININS,19-05-2022,35.4,35.4,33.9,34.2,97894
COPPERTECH,19-05-2022,36.3,37.6,35.9,36.5,826810
CROWNCEMNT,19-05-2022,61.1,66,61.1,65,9827
CRYSTALINS,19-05-2022,36.2,36.8,35.6,36,21225
CVOPRL,19-05-2022,200.5,208,198,202.8,278405
DACCADYE,19-05-2022,19.5,19.5,18.5,18.6,1588461
DAFODILCOM,19-05-2022,68.2,68.3,68,68.2,746
DBH,19-05-2022,62.8,62.8,61.5,61.6,56739
DBH1STMF,19-05-2022,7.2,7.2,6.9,6.9,118707
DELTALIFE,19-05-2022,112.2,116.9,110.8,112.5,549062
DELTASPINN,19-05-2022,8,8.2,7.9,8,626135
DESCO,19-05-2022,36,36.5,35.8,36.2,21862
DESHBANDHU,19-05-2022,17.7,17.8,17,17.1,352181
DGIC,19-05-2022,29.1,29.3,28.3,28.5,78009
DHAKABANK,19-05-2022,14,14.2,14,14.1,899728
DHAKAINS,19-05-2022,56.7,57.5,56.4,56.8,101553
DOMINAGE,19-05-2022,21.4,21.4,20,20.3,140653
DOREENPWR,19-05-2022,76,77.2,75.6,76.3,411785
DSHGARME,19-05-2022,147,147,140,140.9,37428
DSSL,19-05-2022,17.3,17.9,16.7,17.4,2274954
DULAMIACOT,19-05-2022,50.4,52.7,50,50.9,2760
DUTCHBANGL,19-05-2022,61.9,64.8,61.9,64.2,93956
EASTERNINS,19-05-2022,59.1,60.2,56.4,57.6,267168
EASTLAND,19-05-2022,31.2,31.9,30.2,31.5,140298
EASTRNLUB,19-05-2022,1510,1510,1430,1453.4,2057
EBL,19-05-2022,32.9,33.5,32.9,33,385522
EBL1STMF,19-05-2022,7.4,7.4,7.1,7.2,41753
EBLNRBMF,19-05-2022,6.2,6.2,6,6.1,623105
ECABLES,19-05-2022,125.8,133.6,125.8,127.9,4301
EGEN,19-05-2022,47.5,49.8,47.4,48.9,444429
