Date,Scrip,Open,High,Low,Close,Volume
20221128,00DS30,2202.39449,2204.68049,2189.01156,2191.59437,4167525000
20221128,00DSES,1363.99252,1366.59794,1352.69272,1354.59355,4167525000
20221128,00DSEX,6232.29001,6236.44958,6194.14143,6197.93988,4167525000
20221128,1JANATAMF,6.1,6.1,6.1,6.1,1028
20221128,AAMRANET,52.3,54.5,47.8,49.1,3387171
20221128,AAMRATECH,42,42,38.6,38.8,1180066
20221128,ABB1STMF,5.2,5.2,5.2,5.2,6015
20221128,ABBANK,9.9,9.9,9.9,9.9,105088
20221128,ACFL,26.5,26.5,26.5,26.5,130
20221128,ACI,260.2,260.2,260.2,260.2,5824
20221128,ACIFORMULA,155,155,155,155,2305
20221128,ACMELAB,85,85,85,85,2086
20221128,ACMEPL,35.4,35.4,35.4,35.4,27
20221128,ADNTEL,103.7,106.8,97.2,99.4,362960
20221128,ADVENT,24.6,25.7,23,23.8,1370594
20221128,AFCAGRO,23.5,23.5,23.5,23.5,15812
20221128,AFTABAUTO,24.5,24.5,24.5,24.5,27241
20221128,AGNISYSL,22.8,22.8,22,22.1,1155200
20221128,AGRANINS,38.5,38.5,38.5,38.5,104
20221128,AIBL1STIMF,7.3,7.3,7.3,7.3,168
20221128,AL-HAJTEX,132.1,132.1,132.1,132.1,18197
20221128,ALARABANK,23.7,23.7,23.6,23.6,34881
20221128,ALIF,13.3,13.3,13.3,13.3,327
20221128,AMBEEPHA,518.7,518.7,486.2,486.4,23999
20221128,AMCL(PRAN),266.8,266.8,266.8,266.8,6619
20221128,ANLIMAYARN,37.1,37.1,37.1,37.1,751
20221128,ANWARGALV,217.6,220.6,213.3,213.4,154041
20221128,AOL,36.5,36.5,36.5,36.5,1219
20221128,APEXFOODS,281.9,294.8,273.3,274.8,176902
20221128,APEXFOOT,257.5,257.5,257.5,257.5,243
20221128,APEXTANRY,128.7,128.7,128.7,128.7,17
20221128,APOLOISPAT,8.2,8.2,8.2,8.2,75
20221128,ARAMIT,273.9,273.9,273.9,273.9,2435
20221128,ARAMITCEM,31.4,31.4,31.4,31.4,1
20221128,ASIAINS,49.9,49.9,48.9,48.9,187060
20221128,ASIAPACINS,44,44,43.6,43.6,32243
20221128,ATCSLGF,9.7,9.7,9.7,9.7,5000
20221128,AZIZPIPES,95.7,95.7,95.7,95.7,16
20221128,BANKASIA,20.2,20.2,20.2,20.2,7622
20221128,BATASHOE,931,931.2,931,931,650
20221128,BATBC,518.7,518.7,518.7,518.7,1159
20221128,BAYLEASING,23.9,23.9,23.9,23.9,2
20221128,BBS,21.6,21.6,21.6,21.6,2135
20221128,BBSCABLES,49.9,49.9,49.9,49.9,2755
20221128,BDCOM,37.1,37.9,34.1,34.4,1806291
20221128,BDLAMPS,252.2,252.2,252.2,252.2,652
20221128,BDTHAI,17,17,17,17,550
20221128,BDTHAIFOOD,46.9,46.9,44.8,45,348617
20221128,BDWELDING,31.7,31.8,30.6,30.8,522652
20221128,BEACHHATCH,41.7,41.7,41.7,41.7,1
20221128,BEACONPHAR,285.1,294,271.5,275.8,64896
20221128,BENGALWTL,25.2,25.6,25.2,25.5,199350
20221128,BERGERPBL,1711.6,1711.6,1711.6,1711.6,12
20221128,BEXGSUKUK,87.5,89,87.5,88.5,2868
20221128,BEXIMCO,115.6,115.6,115.6,115.6,6601
20221128,BGIC,53,55.9,53,55.4,177743
20221128,BIFC,9.5,9.5,9.5,9.5,5
20221128,BNICL,60.5,60.6,57.8,57.9,366271
20221128,BPML,87,88.3,78.3,78.3,4453884
20221128,BRACBANK,38.5,38.5,38.5,38.5,421
20221128,BSC,117.8,119.4,109.4,110.5,580678
20221128,BSCCL,218.9,218.9,218.9,218.9,372
20221128,BSRMLTD,90,90,90,90,1450
20221128,BSRMSTEEL,63.9,63.9,63.9,63.9,643
20221128,BXPHARMA,146.3,146.3,146.2,146.2,106178
20221128,CENTRALINS,37.2,37.2,37.2,37.2,3163
20221128,CENTRALPHL,12.4,12.4,12.4,12.4,1675
