Date,Scrip,Open,High,Low,Close,Volume
20220929,00DS30,2323.13414,2335.22597,2321.89456,2330.41902,12169539000
20220929,00DSES,1415.40831,1422.95495,1415.40831,1419.72793,12169539000
20220929,00DSEX,6496.38846,6525.70001,6496.38846,6512.89201,12169539000
20220929,1JANATAMF,6.1,6.1,6.1,6.1,21160
20220929,1STPRIMFMF,17,17,17,17,201
20220929,AAMRANET,40.4,40.4,38.9,39,547242
20220929,AAMRATECH,41.2,41.5,40.3,40.4,1310351
20220929,ABB1STMF,5.2,5.2,5.2,5.2,10177
20220929,ABBANK,9.9,9.9,9.9,9.9,110336
20220929,ACFL,28,28.5,27.7,27.7,73003
20220929,ACI,274.1,274.9,274,274.4,31037
20220929,ACIFORMULA,172.6,172.9,170.3,171.1,174653
20220929,ACMELAB,96.4,98.2,96.1,96.9,692164
20220929,ACMEPL,38.4,38.4,37.4,37.6,358787
20220929,ACTIVEFINE,19.3,19.3,19.3,19.3,46718
20220929,ADNTEL,83,88.4,82.4,84.8,2892863
20220929,ADVENT,28.5,28.9,28.1,28.4,1846208
20220929,AFCAGRO,23.5,23.5,23.5,23.5,41399
20220929,AFTABAUTO,25.9,26,25.8,25.9,41789
20220929,AGNISYSL,24.4,24.8,23.8,23.9,1939405
20220929,AGRANINS,38.5,38.5,38.5,38.5,3198
20220929,AIBL1STIMF,7.3,7.3,7.3,7.3,18458
20220929,AIL,53.4,53.4,53.4,53.4,104770
20220929,AL-HAJTEX,136.6,142,136.6,141.4,281504
20220929,ALARABANK,23.6,23.9,23.6,23.6,40690
20220929,ALIF,13.3,13.3,13.3,13.3,304487
20220929,ALLTEX,24.6,24.6,24.6,24.6,155
20220929,AMANFEED,36.7,38.8,36.5,38.1,1411943
20220929,AMBEEPHA,538,538,500.1,509.9,5728
20220929,AMCL(PRAN),312.5,318.9,302,313.6,42098
20220929,ANLIMAYARN,37.1,37.1,37.1,37.1,26415
20220929,ANWARGALV,400.5,407,390.4,392.8,65757
20220929,AOL,44,44.4,42.9,43.5,919097
20220929,APEXFOODS,220,223.5,215,222.3,52455
20220929,APEXFOOT,291,305.8,283.1,304.1,236241
20220929,APEXSPINN,133.1,136.5,133,135.8,54848
20220929,APEXTANRY,128.7,128.7,128.7,128.7,46387
20220929,APOLOISPAT,8.2,8.2,8.2,8.2,250317
20220929,ARAMIT,309,314.9,305.2,307.7,13459
20220929,ARAMITCEM,31.4,31.4,31.4,31.4,1681
20220929,ARGONDENIM,18.2,18.2,18.2,18.2,62669
20220929,ASIAINS,48.9,49.3,48.9,48.9,88649
20220929,ASIAPACINS,47.7,47.7,45.9,46.1,58244
20220929,ATCSLGF,9.7,9.7,9.7,9.7,250
20220929,ATLASBANG,110,110.4,105.2,106.9,10765
20220929,AZIZPIPES,135.1,144.5,132.5,135.2,322708
20220929,BANGAS,127.7,128.9,127.7,127.7,44065
20220929,BANKASIA,20.2,20.2,20.2,20.2,211
20220929,BARKAPOWER,21.6,22.3,21.6,22,263454
20220929,BATASHOE,1019,1023,1012.5,1016.5,1308
20220929,BATBC,518.7,518.7,518.7,518.7,44420
20220929,BAYLEASING,23.9,23.9,23.9,23.9,912453
20220929,BBS,29.1,31.2,28.8,30.8,13829466
20220929,BBSCABLES,55.4,56,54.2,55.4,1752199
20220929,BDAUTOCA,138.3,139.4,137.8,138.1,23044
20220929,BDCOM,67,67,59.5,61.3,4452839
20220929,BDFINANCE,44.1,44.1,44.1,44.1,68108
20220929,BDLAMPS,294.5,304.4,291.2,300.6,83880
20220929,BDTHAI,17.5,17.5,17,17.1,694287
20220929,BDTHAIFOOD,45,51,45,49.6,831064
20220929,BDWELDING,30.1,30.7,28.4,29,368919
20220929,BEACHHATCH,41.7,41.7,41.7,41.7,24120
20220929,BEACONPHAR,310,317.8,308.1,315.7,87126
20220929,BENGALWTL,27.8,28.7,27.8,28,2354549
20220929,BERGERPBL,1741,1749,1740,1740.1,708
20220929,BEXGSUKUK,87.5,88,87.5,87.5,4509
20220929,BEXIMCO,135.8,136.9,132,133.2,8218771
20220929,BGIC,38.6,38.6,38.6,38.6,16342
20220929,BIFC,11.6,11.6,10.4,10.8,270324
20220929,BNICL,58.9,60,58.4,58.6,279317
20220929,BPML,86.6,91,86.6,88,2802717
20220929,BPPL,29.4,30,29.4,29.5,580893
20220929,BRACBANK,38.5,38.5,38.5,38.5,11332
20220929,BSC,162,164.2,158.5,162.4,1477670
20220929,BSCCL,226,228.3,225.6,226.2,143443
20220929,BSRMLTD,92.3,93.5,92.1,93.3,154526
20220929,BSRMSTEEL,65.5,66.5,65.3,65.6,43884
20220929,BXPHARMA,173,173,169.3,170.1,383517
20220929,CAPMBDBLMF,10.1,10.1,10.1,10.1,10
20220929,CENTRALINS,38.7,38.8,37.2,37.3,94702
20220929,CENTRALPHL,13.1,13.2,12.8,13,365960
20220929,CITYBANK,22.8,22.9,22.8,22.8,590081
20220929,CITYGENINS,26.5,26.5,26.3,26.3,102353
20220929,CNATEX,10.2,10.2,10.2,10.2,4130
20220929,CONFIDCEM,101.7,101.7,98,98.7,59537
20220929,CONTININS,31.8,31.8,31.8,31.8,5863
20220929,COPPERTECH,47.9,48.5,47.6,48,1603139
20220929,CROWNCEMNT,74.4,74.4,74.4,74.4,250
20220929,CRYSTALINS,36.4,38.6,36.4,37.7,79776
20220929,CVOPRL,165.6,166.8,164.2,164.9,171620
20220929,DACCADYE,18.6,18.7,18.2,18.2,702625
20220929,DAFODILCOM,65.8,72,65.8,70.1,121504
20220929,DBH,57.8,57.8,57.8,57.8,15226
20220929,DBH1STMF,6.9,6.9,6.9,6.9,2062
20220929,DELTALIFE,150.5,157,148,153.4,852382
20220929,DELTASPINN,8.5,8.5,8.5,8.5,6297
20220929,DESCO,36.6,36.6,36.6,36.6,7518
20220929,DESHBANDHU,19.2,19.8,19.2,19.6,780328
20220929,DGIC,41.2,42.8,40,40.6,969032
20220929,DHAKABANK,13.6,13.7,13.5,13.6,176957
20220929,DHAKAINS,50,50,50,50,24159
20220929,DOMINAGE,21.8,21.8,21.8,21.8,53234
20220929,DOREENPWR,72.6,73.7,71.2,71.5,529980
20220929,DSHGARME,151.1,154.7,151.1,151.8,18962
20220929,DSSL,17,17,17,17,166716
20220929,DULAMIACOT,75,75,71.1,71.1,2493
