Date,Scrip,Open,High,Low,Close,Volume
20230312,00DS30,2226.96941,2228.81995,2219.18806,2221.54804,4335839000
20230312,00DSES,1362.3256,1365.21681,1357.47955,1358.91293,4335839000
20230312,00DSEX,6260.17687,6266.9223,6232.1148,6234.98803,4335839000
20230312,1STPRIMFMF,13.8,13.8,13.8,13.8,32801
20230312,AAMRANET,64.7,66.1,61.7,62.4,2258630
20230312,AAMRATECH,36.8,37.5,35.3,35.5,410326
20230312,ABBANK,9.9,9.9,9.9,9.9,40540
20230312,ACFL,26.5,26.5,26.5,26.5,6
20230312,ACI,260.2,260.2,260.2,260.2,961
20230312,ACIFORMULA,155,155,155,155,2413
20230312,ACMELAB,85,85,85,85,23662
20230312,ACMEPL,35.4,35.4,35.4,35.4,85
20230312,ACTIVEFINE,19.3,19.3,19.3,19.3,1
20230312,ADNTEL,169,172,162,164.1,851620
20230312,ADVENT,23.9,24,23,23.1,767340
20230312,AFTABAUTO,24.5,24.5,24.5,24.5,20358
20230312,AGNISYSL,22.9,23.2,22.2,22.4,530329
20230312,AGRANINS,34.3,35,34.3,34.5,34192
20230312,AIBL1STIMF,7.3,7.3,7.3,7.3,31200
20230312,AL-HAJTEX,171.2,181.2,171.2,177.6,381774
20230312,ALARABANK,23.6,23.9,23.6,23.6,30215
20230312,ALIF,13.3,13.3,13.3,13.3,100
20230312,ALLTEX,17.5,17.5,17.5,17.5,750
20230312,AMANFEED,33.5,33.5,33.5,33.5,5
20230312,AMBEEPHA,479.9,480.5,479.1,480.3,1685
20230312,AMCL(PRAN),252,252.1,252,252,2274
20230312,ANLIMAYARN,35,35.5,32.8,33.4,44072
20230312,ANWARGALV,213.3,213.3,213.3,213.3,791
20230312,AOL,36.5,36.5,36.5,36.5,380
20230312,APEXFOODS,261.5,262.4,256.2,256.9,55253
20230312,APEXFOOT,321.3,321.3,307.4,308.1,210487
20230312,APEXSPINN,116.3,116.8,116,116,23999
20230312,APEXTANRY,99.4,99.4,99.3,99.3,4923
20230312,APOLOISPAT,8.2,8.2,8.2,8.2,117
20230312,ARAMIT,258.9,262.7,258.9,258.9,4647
20230312,ARAMITCEM,22.3,22.3,22,22,60250
20230312,ARGONDENIM,18.2,18.2,18.2,18.2,100
20230312,ASIAINS,48.9,49.4,48.9,48.9,48025
20230312,ASIAPACINS,45.5,46,44.4,45,31132
20230312,AZIZPIPES,84.1,84.1,82.7,82.7,14719
20230312,BANGAS,110,110.1,108.9,108.9,16980
20230312,BANKASIA,20.2,21,20.2,20.2,60778
20230312,BARKAPOWER,21.3,21.3,21.3,21.3,10
20230312,BATASHOE,946,960.9,946,947,121
20230312,BATBC,518.7,518.7,518.7,518.7,831
