Date,Scrip,Open,High,Low,Close,Volume
20230416,00DS30,2201.93174,2203.4469,2199.1502,2199.67374,4696950000
20230416,00DSES,1347.51713,1349.54077,1347.2623,1347.69155,4696950000
20230416,00DSEX,6215.17968,6222.97687,6213.84157,6216.23281,4696950000
20230416,1JANATAMF,6.1,6.1,6.1,6.1,70
20230416,1STPRIMFMF,13.8,13.8,13.8,13.8,500
20230416,AAMRANET,77.8,82,76.7,80.6,3660246
20230416,AAMRATECH,38.9,39.7,38.1,39.3,913174
20230416,ABB1STMF,5.2,5.2,5.2,5.2,10
20230416,ABBANK,9.9,9.9,9.9,9.9,1201
20230416,ACFL,26.5,26.5,26.5,26.5,1251
20230416,ACI,260.2,260.2,260.2,260.2,459
20230416,ACIFORMULA,156.5,158.8,155.2,155.9,57006
20230416,ACMELAB,85,85,85,85,7177
20230416,ACMEPL,35.4,35.4,35.4,35.4,550
20230416,ACTIVEFINE,19.3,19.3,19.3,19.3,1
20230416,ADNTEL,135.2,138.9,132.7,136.5,554693
20230416,ADVENT,22.6,22.8,22.6,22.6,475524
20230416,AFTABAUTO,24.5,24.5,24.5,24.5,6520
20230416,AGNISYSL,21.9,22.7,21.9,22.5,504529
20230416,AGRANINS,33.8,33.8,33.8,33.8,3572
20230416,AIBL1STIMF,7.3,7.3,7.3,7.3,2425
20230416,AL-HAJTEX,162,166,157.5,164.3,309112
20230416,ALARABANK,23.6,23.6,23.6,23.6,3822
20230416,ALIF,13.3,13.3,13.3,13.3,50
20230416,AMANFEED,33.5,33.5,33.5,33.5,100
20230416,AMBEEPHA,503,514.8,503,507.5,610
20230416,AMCL(PRAN),263.3,268,259,260.6,20288
20230416,ANLIMAYARN,32.1,32.4,31.7,31.9,42023
20230416,ANWARGALV,213.3,213.3,213.3,213.3,15386
20230416,AOL,36.5,36.5,36.5,36.5,87217
20230416,APEXFOODS,284,289.8,273,275.6,148880
20230416,APEXFOOT,369.5,375,353.3,357,390397
20230416,APEXSPINN,122,124.7,118.3,119.9,33476
20230416,APEXTANRY,112.5,113,107,109.3,36756
20230416,APOLOISPAT,8.2,8.2,8.2,8.2,69
20230416,ARAMIT,269.2,274.4,267.6,272.8,9847
20230416,ARAMITCEM,22.9,24,22,22.2,31943
20230416,ASIAINS,48.9,48.9,48.9,48.9,1000
20230416,ASIAPACINS,44.1,44.1,43.6,43.6,76482
20230416,ATLASBANG,104.2,104.2,104.2,104.2,35
20230416,AZIZPIPES,91.8,92,87.2,87.6,34371
20230416,BANGAS,116.8,120,116,117.9,49233
20230416,BANKASIA,20.2,20.2,20.2,20.2,494000
20230416,BARKAPOWER,21.3,21.3,21.3,21.3,500
20230416,BATASHOE,975,975,951,953.1,1108
20230416,BATBC,518.7,518.7,518.7,518.7,1002
20230416,BAYLEASING,23.9,23.9,23.9,23.9,300
20230416,BBS,21.6,21.6,21.6,21.6,405
20230416,BBSCABLES,49.9,49.9,49.9,49.9,11
20230416,BDAUTOCA,149,159,149,155.8,265383
20230416,BDCOM,39.2,39.4,38.7,38.9,1022484
20230416,BDLAMPS,262.2,267,262.2,265.9,56306
20230416,BDTHAI,12.8,12.9,12.8,12.9,85385
20230416,BDTHAIFOOD,37.4,38.9,37.4,38.6,540076
20230416,BDWELDING,23.9,24,22.9,23.2,264398
20230416,BEACHHATCH,41.1,42.5,38,39.1,1737125
20230416,BEACONPHAR,245,245,245,245,8045
20230416,BENGALWTL,27.6,27.8,26.9,27.2,827761
20230416,BERGERPBL,1731.1,1740,1731.1,1739.5,1309
20230416,BEXGSUKUK,85,85.5,85,85.5,11166
20230416,BEXIMCO,115.6,115.6,115.6,115.6,553
20230416,BGIC,52,52,51.6,51.7,5233
20230416,BNICL,56.7,56.7,56.7,56.7,67
