Scrip,Open,High,Low,Close,Volume,Date,Price_Change,MA_7,Pct_Change
1STPRIMFMF,14.7,14.7,14.6,14.6,79116,2023-01-31,,,
1STPRIMFMF,16.4,16.4,16.4,16.4,512,2023-01-01,1.799999999999999,,12.328767123287655
AAMRANET,52.8,52.8,49.7,50.3,1051934,2023-01-01,-17.0,,-25.26002971768202
AAMRATECH,36.7,36.7,35.2,35.3,781597,2023-01-31,-15.0,,-29.821073558648116
AAMRATECH,40.5,41.1,38.9,39.0,289417,2023-01-01,3.700000000000003,,10.481586402266307
ABBANK,9.9,9.9,9.9,9.9,5696,2023-01-31,-29.1,33.25714285714285,-74.61538461538461
ABBANK,9.9,9.9,9.9,9.9,1681,2023-01-01,0.0,32.58571428571428,0.0
ACFL,26.5,26.5,26.5,26.5,250,2023-01-31,16.6,34.028571428571425,167.67676767676764
ACFL,26.5,26.5,26.5,26.5,101,2023-01-01,0.0,28.199999999999996,0.0
ACI,260.2,260.2,260.2,260.2,256,2023-01-31,233.7,58.185714285714276,881.8867924528302
ACI,260.2,260.2,260.2,260.2,4,2023-01-01,0.0,90.31428571428572,0.0
ACIFORMULA,155.0,155.0,155.0,155.0,21742,2023-01-31,-105.19999999999999,106.88571428571429,-40.4304381245196
ACIFORMULA,155.0,155.0,155.0,155.0,6,2023-01-01,0.0,127.61428571428571,0.0
ACMELAB,85.0,85.0,85.0,85.0,201028,2023-01-31,-70.0,138.34285714285716,-45.16129032258065
ACMELAB,85.0,85.0,85.0,85.0,3279,2023-01-01,0.0,146.70000000000002,0.0
ACMEPL,35.4,35.4,35.4,35.4,1700,2023-01-31,-49.6,147.97142857142856,-58.35294117647059
ACMEPL,35.4,35.4,35.4,35.4,1001,2023-01-01,0.0,115.85714285714286,0.0
ADNTEL,118.8,119.1,113.9,115.0,310461,2023-01-31,79.6,95.11428571428571,224.85875706214688
ADNTEL,113.0,115.0,109.2,110.6,208956,2023-01-01,-4.400000000000006,88.77142857142857,-3.826086956521746
ADVENT,24.0,24.6,23.9,24.4,851221,2023-01-31,-86.19999999999999,70.11428571428571,-77.93851717902352
ADVENT,25.5,25.8,24.3,24.5,1506499,2023-01-01,0.10000000000000142,61.471428571428575,0.4098360655737654
AFTABAUTO,24.5,24.5,24.5,24.5,5932,2023-01-31,0.0,52.82857142857143,0.0
AFTABAUTO,24.5,24.5,24.5,24.5,15958,2023-01-01,0.0,51.27142857142858,0.0
AGNISYSL,23.9,24.4,23.8,23.9,1380842,2023-01-31,-0.6000000000000014,49.628571428571426,-2.448979591836742
AGNISYSL,23.2,23.2,22.8,22.8,202592,2023-01-01,-1.0999999999999979,36.457142857142856,-4.602510460251041
AGRANINS,38.9,38.9,38.9,38.9,26155,2023-01-31,16.099999999999998,26.214285714285715,70.61403508771929
AGRANINS,36.7,36.7,36.7,36.7,1320,2023-01-01,-2.1999999999999957,27.97142857142857,-5.655526992287907
AIBL1STIMF,7.7,7.7,7.7,7.7,1056,2023-01-31,-29.000000000000004,25.571428571428573,-79.01907356948229
AIBL1STIMF,7.4,7.4,7.4,7.4,1700,2023-01-01,-0.2999999999999998,23.12857142857143,-3.8961038961038974
ALARABANK,23.6,23.6,23.6,23.6,3000,2023-01-31,16.200000000000003,23.0,218.9189189189189
ALARABANK,23.6,23.6,23.6,23.6,5151,2023-01-01,0.0,22.95714285714286,0.0
ALLTEX,19.4,19.4,19.4,19.4,1250,2023-01-31,-4.200000000000003,22.47142857142857,-17.796610169491533
ALLTEX,23.4,23.4,23.4,23.4,1,2023-01-01,4.0,20.25714285714286,20.618556701030922
AMBEEPHA,465.2,477.5,462.1,462.2,3215,2023-01-31,438.8,81.04285714285713,1875.2136752136753
AMBEEPHA,552.0,552.0,508.6,508.6,1131,2023-01-01,46.400000000000034,152.6,10.038944180008658
AMCL(PRAN),235.3,236.8,235.3,235.3,11820,2023-01-31,-273.3,185.15714285714287,-53.735745182854885
AMCL(PRAN),268.0,268.0,263.0,263.0,7376,2023-01-01,27.69999999999999,219.35714285714286,11.772205694857618
ANLIMAYARN,31.7,31.7,31.7,31.7,524,2023-01-31,-231.3,220.51428571428573,-87.9467680608365
ANLIMAYARN,35.3,35.3,35.3,35.3,4,2023-01-01,3.599999999999998,222.78571428571428,11.356466876971606
ANWARGALV,213.3,213.3,213.3,213.3,6470,2023-01-31,178.0,249.91428571428574,504.2492917847026
ANWARGALV,237.1,240.0,225.0,225.6,134128,2023-01-01,12.299999999999983,216.11428571428573,5.766526019690565
AOL,36.5,36.5,36.5,36.5,1000,2023-01-31,-189.1,148.67142857142858,-83.8209219858156
AOL,36.5,36.5,36.5,36.5,5,2023-01-01,0.0,120.27142857142857,0.0
APEXFOODS,276.6,283.9,276.6,276.6,93695,2023-01-31,240.10000000000002,122.21428571428571,657.8082191780823
APEXFOODS,302.9,302.9,295.5,295.5,62413,2023-01-01,18.899999999999977,159.9,6.832971800433829
APEXFOOT,257.5,257.5,257.5,257.5,1493,2023-01-31,-38.0,191.64285714285714,-12.859560067681898
