Scrip,Open,High,Low,Close,Volume,Date
1STPRIMFMF,14.7,14.7,14.6,14.6,79116,2023-01-31
1STPRIMFMF,16.4,16.4,16.4,16.4,512,2023-01-01
AAMRANET,68.0,68.4,66.4,67.3,3041442,2023-01-31
AAMRANET,52.8,52.8,49.7,50.3,1051934,2023-01-01
AAMRATECH,36.7,36.7,35.2,35.3,781597,2023-01-31
AAMRATECH,40.5,41.1,38.9,39.0,289417,2023-01-01
ABBANK,9.9,9.9,9.9,9.9,5696,2023-01-31
ABBANK,9.9,9.9,9.9,9.9,1681,2023-01-01
ACFL,26.5,26.5,26.5,26.5,250,2023-01-31
ACFL,26.5,26.5,26.5,26.5,101,2023-01-01
ACI,260.2,260.2,260.2,260.2,256,2023-01-31
ACI,260.2,260.2,260.2,260.2,4,2023-01-01
ACIFORMULA,155.0,155.0,155.0,155.0,21742,2023-01-31
ACIFORMULA,155.0,155.0,155.0,155.0,6,2023-01-01
ACMELAB,85.0,85.0,85.0,85.0,201028,2023-01-31
ACMELAB,85.0,85.0,85.0,85.0,3279,2023-01-01
ACMEPL,35.4,35.4,35.4,35.4,1700,2023-01-31
ACMEPL,35.4,35.4,35.4,35.4,1001,2023-01-01
ADNTEL,118.8,119.1,113.9,115.0,310461,2023-01-31
ADNTEL,113.0,115.0,109.2,110.6,208956,2023-01-01
ADVENT,24.0,24.6,23.9,24.4,851221,2023-01-31
ADVENT,25.5,25.8,24.3,24.5,1506499,2023-01-01
AFTABAUTO,24.5,24.5,24.5,24.5,5932,2023-01-31
AFTABAUTO,24.5,24.5,24.5,24.5,15958,2023-01-01
AGNISYSL,23.9,24.4,23.8,23.9,1380842,2023-01-31
AGNISYSL,23.2,23.2,22.8,22.8,202592,2023-01-01
AGRANINS,38.9,38.9,38.9,38.9,26155,2023-01-31
AGRANINS,36.7,36.7,36.7,36.7,1320,2023-01-01
AIBL1STIMF,7.7,7.7,7.7,7.7,1056,2023-01-31
AIBL1STIMF,7.4,7.4,7.4,7.4,1700,2023-01-01
ALARABANK,23.6,23.6,23.6,23.6,3000,2023-01-31
ALARABANK,23.6,23.6,23.6,23.6,5151,2023-01-01
ALLTEX,19.4,19.4,19.4,19.4,1250,2023-01-31
ALLTEX,23.4,23.4,23.4,23.4,1,2023-01-01
AMBEEPHA,465.2,477.5,462.1,462.2,3215,2023-01-31
AMBEEPHA,552.0,552.0,508.6,508.6,1131,2023-01-01
AMCL(PRAN),235.3,236.8,235.3,235.3,11820,2023-01-31
AMCL(PRAN),268.0,268.0,263.0,263.0,7376,2023-01-01
ANLIMAYARN,31.7,31.7,31.7,31.7,524,2023-01-31
ANLIMAYARN,35.3,35.3,35.3,35.3,4,2023-01-01
ANWARGALV,213.3,213.3,213.3,213.3,6470,2023-01-31
ANWARGALV,237.1,240.0,225.0,225.6,134128,2023-01-01
AOL,36.5,36.5,36.5,36.5,1000,2023-01-31
AOL,36.5,36.5,36.5,36.5,5,2023-01-01
APEXFOODS,276.6,283.9,276.6,276.6,93695,2023-01-31
APEXFOODS,302.9,302.9,295.5,295.5,62413,2023-01-01
APEXFOOT,257.5,257.5,257.5,257.5,1493,2023-01-31
APEXFOOT,267.9,269.5,262.5,263.8,48580,2023-01-01
APEXSPINN,115.9,115.9,111.0,111.1,16498,2023-01-31
APEXSPINN,123.6,123.6,123.6,123.6,1993,2023-01-01
APEXTANRY,103.0,103.0,103.0,103.0,1053,2023-01-31
APEXTANRY,122.7,122.7,122.7,122.7,102,2023-01-01
ARAMIT,266.1,268.3,266.1,266.1,5614,2023-01-31
ARAMIT,288.3,292.2,287.3,287.6,7149,2023-01-01
ARAMITCEM,25.5,25.5,25.5,25.5,1,2023-01-31
ARAMITCEM,29.9,29.9,29.9,29.9,1,2023-01-01
ASIAINS,51.3,52.6,51.3,52.1,369153,2023-01-31
ASIAINS,48.9,49.2,48.9,48.9,114631,2023-01-01
ASIAPACINS,47.9,47.9,47.9,47.9,13911,2023-01-31
ASIAPACINS,41.6,42.0,41.2,41.2,75756,2023-01-01
AZIZPIPES,86.7,86.7,86.7,86.7,27981,2023-01-31
AZIZPIPES,96.8,96.8,96.7,96.7,7154,2023-01-01
